"model_id","base_id","inference_type","confidence","inference_source"
"TheBloke/CodeLlama-7B-Instruct-AWQ","codellama/CodeLlama-7b-Instruct-hf","finetune","high","explicit_card | cardData.base_model=codellama/CodeLlama-7b-instruct-hf; cardData.base_model_relation=finetune | validated: base_id 'codellama/CodeLlama-7b-instruct-hf' -> 'codellama/CodeLlama-7b-Instruct-hf'"
"icewaterdun/Qwen2.5-72B-Instruct-PyQGIS","Qwen/Qwen2.5-72B-Instruct","finetune","high","explicit_card | cardData.base_model=Qwen/Qwen2.5-72B-Instruct; cardData.base_model_relation=finetune"
"icewaterdun/Qwen2.5-72B-Instruct-PyQGIS","Qwen/Qwen2.5-72B-Instruct","adapter","high","explicit_tag | base_model:adapter:Qwen/Qwen2.5-72B-Instruct"
"prithivMLmods/Qwen2.5-3B-Tamil-Exp","Qwen/Qwen2.5-3B-Instruct","finetune","high","explicit_card | cardData.base_model=Qwen/Qwen2.5-3B-Instruct; cardData.base_model_relation=finetune"
"second-state/Qwen2.5-Math-7B-Instruct-GGUF","Qwen/Qwen2.5-Math-7B-Instruct","finetune","high","explicit_card | cardData.base_model=Qwen/Qwen2.5-Math-7B-Instruct; cardData.base_model_relation=finetune"
"second-state/Qwen2.5-Math-7B-Instruct-GGUF","Qwen/Qwen2.5-Math-7B-Instruct","quantized","high","explicit_tag | base_model:quantized:Qwen/Qwen2.5-Math-7B-Instruct"
"mradermacher/Qwen3-Almost-Human-X4-1640-6B-i1-GGUF","mradermacher/Qwen3-Almost-Human-X4-1640-6B-GGUF","finetune","high","explicit_card | cardData.base_model=DavidAU/Qwen3-Almost-Human-X4-1640-6B; cardData.base_model_relation=finetune | validated: base_id 'DavidAU/Qwen3-Almost-Human-X4-1640-6B' -> 'mradermacher/Qwen3-Almost-Human-X4-1640-6B-GGUF'"
"lmstudio-community/Yi-Coder-1.5B-GGUF","01-ai/Yi-Coder-1.5B","finetune","high","explicit_card | cardData.base_model=01-ai/Yi-Coder-1.5B; cardData.base_model_relation=finetune"
"lmstudio-community/Yi-Coder-1.5B-GGUF","01-ai/Yi-Coder-1.5B","quantized","high","explicit_tag | base_model:quantized:01-ai/Yi-Coder-1.5B"
"Daemontatox/FerrisMind","Qwen/Qwen3-Coder-30B-A3B-Instruct","finetune","high","explicit_card | cardData.base_model=Qwen/Qwen3-Coder-30B-A3B-Instruct; cardData.base_model_relation=finetune"
"nightmedia/Qwen3-Esper3-Reasoning-CODER-Instruct-12B-Brainstorm20x-q6-mlx","DavidAU/Qwen3-Esper3-Reasoning-CODER-Instruct-12B-Brainstorm20x","finetune","high","explicit_card | cardData.base_model=DavidAU/Qwen3-Esper3-Reasoning-CODER-Instruct-12B-Brainstorm20x; cardData.base_model_relation=finetune"
"nightmedia/Qwen3-Esper3-Reasoning-CODER-Instruct-12B-Brainstorm20x-q6-mlx","DavidAU/Qwen3-Esper3-Reasoning-CODER-Instruct-12B-Brainstorm20x","quantized","high","explicit_tag | base_model:quantized:DavidAU/Qwen3-Esper3-Reasoning-CODER-Instruct-12B-Brainstorm20x"
"mradermacher/Qwen3-Zero-Coder-Reasoning-0.8B-i1-GGUF","DavidAU/Qwen3-Zero-Coder-Reasoning-0.8B","finetune","high","explicit_card | cardData.base_model=DavidAU/Qwen3-Zero-Coder-Reasoning-0.8B; cardData.base_model_relation=finetune"
"mradermacher/Qwen3-Zero-Coder-Reasoning-0.8B-i1-GGUF","DavidAU/Qwen3-Zero-Coder-Reasoning-0.8B","quantized","high","explicit_tag | base_model:quantized:DavidAU/Qwen3-Zero-Coder-Reasoning-0.8B"
"bullerwins/Qwen3-VL-32B-Instruct-GGUF","Qwen/Qwen3-VL-32B-Instruct","finetune","high","explicit_card | cardData.base_model=Qwen/Qwen3-VL-32B-Instruct; cardData.base_model_relation=finetune"
"bullerwins/Qwen3-VL-32B-Instruct-GGUF","Qwen/Qwen3-VL-32B-Instruct","quantized","high","explicit_tag | base_model:quantized:Qwen/Qwen3-VL-32B-Instruct"
"Qwen/Qwen2.5-Coder-1.5B-Instruct","Qwen/Qwen2.5-Coder-1.5B","finetune","high","explicit_card | cardData.base_model=Qwen/Qwen2.5-Coder-1.5B; cardData.base_model_relation=finetune"
"alpindale/GLM-4.6-INT8","zai-org/GLM-4.6","finetune","high","explicit_card | cardData.base_model=zai-org/GLM-4.6; cardData.base_model_relation=finetune"
"alpindale/GLM-4.6-INT8","zai-org/GLM-4.6","quantized","high","explicit_tag | base_model:quantized:zai-org/GLM-4.6"
"tensorblock/33x-coder-GGUF","senseable/33x-coder","finetune","high","explicit_card | cardData.base_model=senseable/33x-coder; cardData.base_model_relation=finetune"
"tensorblock/33x-coder-GGUF","senseable/33x-coder","quantized","high","explicit_tag | base_model:quantized:senseable/33x-coder"
"anicka/cve-backport-codegen-qwen25-32b-v1","Qwen/Qwen2.5-Coder-32B-Instruct","finetune","high","explicit_card | cardData.base_model=Qwen/Qwen2.5-Coder-32B-Instruct; cardData.base_model_relation=finetune"
"anicka/cve-backport-codegen-qwen25-32b-v1","Qwen/Qwen2.5-Coder-32B-Instruct","quantized","high","explicit_tag | base_model:quantized:Qwen/Qwen2.5-Coder-32B-Instruct"
"DevShubham/Codellama-7B-Instruct-GGUF","codellama/CodeLlama-13b-Instruct-hf","finetune","high","explicit_card | cardData.base_model=codellama/CodeLlama-13b-Instruct-hf; cardData.base_model_relation=finetune"
"DevShubham/Codellama-7B-Instruct-GGUF","codellama/CodeLlama-13b-Instruct-hf","quantized","high","explicit_tag | base_model:quantized:codellama/CodeLlama-13b-Instruct-hf"
"Silin1590/Qwen3-8B-S1K-42-Langs-5ep","Qwen/Qwen3-8B-Base","finetune","high","explicit_card | cardData.base_model=Qwen/Qwen3-8B-Base; cardData.base_model_relation=finetune"
"Satyam-Singh/UniVerse-LLaVA-4-Ultra","deepseek-ai/DeepSeek-R1","finetune","high","explicit_card | cardData.base_model=deepseek-ai/DeepSeek-R1; cardData.base_model_relation=finetune"
"justinthelaw/Phi-3-mini-128k-instruct-4bit-128g-GPTQ","microsoft/Phi-3-mini-128k-instruct","finetune","high","explicit_card | cardData.base_model=microsoft/Phi-3-mini-128k-instruct; cardData.base_model_relation=finetune"
"justinthelaw/Phi-3-mini-128k-instruct-4bit-128g-GPTQ","microsoft/Phi-3-mini-128k-instruct","quantized","high","explicit_tag | base_model:quantized:microsoft/Phi-3-mini-128k-instruct"
"grozmart1/deepseek-opt-merged-1.3b","deepseek-ai/deepseek-coder-1.3b-base","finetune","high","explicit_card | cardData.base_model=deepseek-ai/deepseek-coder-1.3b-base; cardData.base_model_relation=finetune"
"introvoyz041/Qwen3-MOE-2x8B-TNG-Deckard-Beta-16B-qx-mlx-mlx-8Bit","introvoyz041/Qwen3-MOE-2x8B-TNG-Deckard-Beta-16B-qx64-hi-mlx-mlx-6Bit","finetune","high","explicit_card | cardData.base_model=nightmedia/Qwen3-MOE-2x8B-TNG-Deckard-Beta-16B-qx-mlx; cardData.base_model_relation=finetune | validated: base_id 'nightmedia/Qwen3-MOE-2x8B-TNG-Deckard-Beta-16B-qx-mlx' -> 'introvoyz041/Qwen3-MOE-2x8B-TNG-Deckard-Beta-16B-qx64-hi-mlx-mlx-6Bit'"
"RedHatAI/DeepSeek-R1-Distill-Qwen-7B-FP8-dynamic","deepseek-ai/DeepSeek-R1-Distill-Qwen-7B","finetune","high","explicit_card | cardData.base_model=deepseek-ai/DeepSeek-R1-Distill-Qwen-7B; cardData.base_model_relation=finetune"
"RedHatAI/DeepSeek-R1-Distill-Qwen-7B-FP8-dynamic","deepseek-ai/DeepSeek-R1-Distill-Qwen-7B","quantized","high","explicit_tag | base_model:quantized:deepseek-ai/DeepSeek-R1-Distill-Qwen-7B"
"disham993/electrical-classification-bert-base","google-bert/bert-base-uncased","finetune","high","explicit_card | cardData.base_model=google-bert/bert-base-uncased; cardData.base_model_relation=finetune"
"lamsytan/sentiment-analysis-product-comment-phobert-base","VietAI/vit5-base","finetune","high","explicit_card | cardData.base_model=VietAI/vit5-base; cardData.base_model_relation=finetune"
"prithivMLmods/Viper-Coder-HybridMini-v1.3","Qwen/Qwen2.5-7B-Instruct","finetune","high","explicit_card | cardData.base_model=Qwen/Qwen2.5-7B-Instruct; cardData.base_model_relation=finetune"
"adeleoromni/m7_11_26","Qwen/Qwen3-0.6B-Base","finetune","high","explicit_card | cardData.base_model=Qwen/Qwen3-0.6B-Base; cardData.base_model_relation=finetune"
"LeroyDyer/TemplateREPO","LeroyDyer/LCARS_TOP_SCORE","finetune","high","explicit_card | cardData.base_model=LeroyDyer/LCARS_TOP_SCORE; cardData.base_model_relation=finetune"
"LeroyDyer/TemplateREPO","LeroyDyer/Mixtral_AI_Cyber_Matrix_2_0","finetune","high","explicit_card | cardData.base_model=LeroyDyer/Mixtral_AI_Cyber_Matrix_2_0; cardData.base_model_relation=finetune"
"LeroyDyer/TemplateREPO","LeroyDyer/SpydazWeb_AI_CyberTron_Ultra_7b","finetune","high","explicit_card | cardData.base_model=LeroyDyer/SpydazWeb_AI_CyberTron_Ultra_7b; cardData.base_model_relation=finetune"
"LeroyDyer/TemplateREPO","LeroyDyer/LCARS_AI_StarTrek_Computer","finetune","high","explicit_card | cardData.base_model=LeroyDyer/LCARS_AI_StarTrek_Computer; cardData.base_model_relation=finetune"
"LeroyDyer/TemplateREPO","LeroyDyer/SpyazWeb_AI_DeepMind_Project","finetune","high","explicit_card | cardData.base_model=LeroyDyer/SpyazWeb_AI_DeepMind_Project; cardData.base_model_relation=finetune"
"LeroyDyer/TemplateREPO","LeroyDyer/SpydazWeb_AI_Swahili_Project","finetune","high","explicit_card | cardData.base_model=LeroyDyer/SpydazWeb_AI_Swahili_Project; cardData.base_model_relation=finetune"
"LeroyDyer/TemplateREPO","LeroyDyer/_Spydaz_Web_AI_MistralStar_001_Project","finetune","high","explicit_card | cardData.base_model=LeroyDyer/_Spydaz_Web_AI_MistralStar_001_Project; cardData.base_model_relation=finetune"
"LeroyDyer/TemplateREPO","LeroyDyer/QuietStar_Project","finetune","high","explicit_card | cardData.base_model=LeroyDyer/QuietStar_Project; cardData.base_model_relation=finetune"
"LeroyDyer/TemplateREPO","LeroyDyer/Mixtral_BioMedical_7b","finetune","high","explicit_card | cardData.base_model=LeroyDyer/Mixtral_BioMedical_7b; cardData.base_model_relation=finetune"
"LeroyDyer/TemplateREPO","solidrust/Mixtral_AI_CyberTron_Coder-AWQ","finetune","high","explicit_card | cardData.base_model=LeroyDyer/Mixtral_AI_CyberTron_Coder; cardData.base_model_relation=finetune | validated: base_id 'LeroyDyer/Mixtral_AI_CyberTron_Coder' -> 'solidrust/Mixtral_AI_CyberTron_Coder-AWQ'"
"LeroyDyer/TemplateREPO","RichardErkhov/LeroyDyer_-__Spydaz_Web_AI_BIBLE_002-gguf","finetune","high","explicit_card | cardData.base_model=LeroyDyer/_Spydaz_Web_AI_BIBLE_002; cardData.base_model_relation=finetune | validated: base_id 'LeroyDyer/_Spydaz_Web_AI_BIBLE_002' -> 'RichardErkhov/LeroyDyer_-__Spydaz_Web_AI_BIBLE_002-gguf'"
"LeroyDyer/TemplateREPO","LeroyDyer/Mixtral_BioMedical_7b","merge","high","explicit_tag | base_model:merge:LeroyDyer/Mixtral_BioMedical_7b"
"LeroyDyer/TemplateREPO","LeroyDyer/LCARS_TOP_SCORE","merge","high","explicit_tag | base_model:merge:LeroyDyer/LCARS_TOP_SCORE"
"LeroyDyer/TemplateREPO","LeroyDyer/Mixtral_AI_Cyber_Matrix_2_0","merge","high","explicit_tag | base_model:merge:LeroyDyer/Mixtral_AI_Cyber_Matrix_2_0"
"LeroyDyer/TemplateREPO","LeroyDyer/SpydazWeb_AI_Swahili_Project","merge","high","explicit_tag | base_model:merge:LeroyDyer/SpydazWeb_AI_Swahili_Project"
"LeroyDyer/TemplateREPO","LeroyDyer/SpydazWeb_AI_CyberTron_Ultra_7b","merge","high","explicit_tag | base_model:merge:LeroyDyer/SpydazWeb_AI_CyberTron_Ultra_7b"
"LeroyDyer/TemplateREPO","LeroyDyer/SpyazWeb_AI_DeepMind_Project","merge","high","explicit_tag | base_model:merge:LeroyDyer/SpyazWeb_AI_DeepMind_Project"
"LeroyDyer/TemplateREPO","LeroyDyer/LCARS_AI_StarTrek_Computer","merge","high","explicit_tag | base_model:merge:LeroyDyer/LCARS_AI_StarTrek_Computer"
"LeroyDyer/TemplateREPO","LeroyDyer/_Spydaz_Web_AI_MistralStar_001_Project","merge","high","explicit_tag | base_model:merge:LeroyDyer/_Spydaz_Web_AI_MistralStar_001_Project"
"LeroyDyer/TemplateREPO","LeroyDyer/QuietStar_Project","merge","high","explicit_tag | base_model:merge:LeroyDyer/QuietStar_Project"
"TheBloke/deepseek-coder-6.7B-base-AWQ","deepseek-ai/deepseek-coder-6.7b-base","finetune","high","explicit_card | cardData.base_model=deepseek-ai/deepseek-coder-6.7b-base; cardData.base_model_relation=finetune"
"TheBloke/deepseek-coder-6.7B-base-AWQ","deepseek-ai/deepseek-coder-6.7b-base","quantized","high","explicit_tag | base_model:quantized:deepseek-ai/deepseek-coder-6.7b-base"
"unsloth/Phi-3.5-mini-instruct","microsoft/Phi-3.5-mini-instruct","finetune","high","explicit_card | cardData.base_model=microsoft/Phi-3.5-mini-instruct; cardData.base_model_relation=finetune"
"unsloth/Qwen3-4B-Instruct-2507-FP8","Qwen/Qwen3-4B-Instruct-2507-FP8","finetune","high","explicit_card | cardData.base_model=Qwen/Qwen3-4B-Instruct-2507-FP8; cardData.base_model_relation=finetune"
"unsloth/Qwen3-4B-Instruct-2507-FP8","Qwen/Qwen3-4B-Instruct-2507-FP8","quantized","high","explicit_tag | base_model:quantized:Qwen/Qwen3-4B-Instruct-2507-FP8"
"nightmedia/Qwen3-MOE-6x6B-Star-Trek-Universe-Alpha-D-256k-ctx-36B-qx65-mlx","DavidAU/Qwen3-MOE-6x6B-Star-Trek-Universe-Alpha-D-256k-ctx-36B","finetune","high","explicit_card | cardData.base_model=DavidAU/Qwen3-MOE-6x6B-Star-Trek-Universe-Alpha-D-256k-ctx-36B; cardData.base_model_relation=finetune"
"nightmedia/Qwen3-MOE-6x6B-Star-Trek-Universe-Alpha-D-256k-ctx-36B-qx65-mlx","DavidAU/Qwen3-MOE-6x6B-Star-Trek-Universe-Alpha-D-256k-ctx-36B","quantized","high","explicit_tag | base_model:quantized:DavidAU/Qwen3-MOE-6x6B-Star-Trek-Universe-Alpha-D-256k-ctx-36B"
"mradermacher/Qwen2.5-Microsoft-NextCoder-Instruct-FUSED-CODER-Fast-11B-i1-GGUF","mradermacher/Qwen2.5-Microsoft-NextCoder-Olympic-Instruct-FUSED-CODER-Fast-11B-i1-GGUF","finetune","high","explicit_card | cardData.base_model=DavidAU/Qwen2.5-Microsoft-NextCoder-Instruct-FUSED-CODER-Fast-11B; cardData.base_model_relation=finetune | validated: base_id 'DavidAU/Qwen2.5-Microsoft-NextCoder-Instruct-FUSED-CODER-Fast-11B' -> 'mradermacher/Qwen2.5-Microsoft-NextCoder-Olympic-Instruct-FUSED-CODER-Fast-11B-i1-GGUF'"
"Pinkstack/PARM-2-Tiny-Instruct-1.7B-QwQ-o1-GGUF","Pinkstack/PARM-1-Smollm2-1.7B-Lcot-PyTorch","finetune","high","explicit_card | cardData.base_model=Pinkstack/PARM-2-Smollm2-1.7B-Lcot-PyTorch; cardData.base_model_relation=finetune | validated: base_id 'Pinkstack/PARM-2-Smollm2-1.7B-Lcot-PyTorch' -> 'Pinkstack/PARM-1-Smollm2-1.7B-Lcot-PyTorch'"
"Pinkstack/PARM-2-Tiny-Instruct-1.7B-QwQ-o1-GGUF","Pinkstack/PARM-1-Smollm2-1.7B-Lcot-PyTorch","quantized","high","explicit_tag | base_model:quantized:Pinkstack/PARM-1-Smollm2-1.7B-Lcot-PyTorch"
"sartajbhuvaji/facebook-opt-350m-chat","facebook/opt-350m","finetune","high","explicit_card | cardData.base_model=facebook/opt-350m; cardData.base_model_relation=finetune"
"testmymodel112/Affine-new-model-152","Qwen/Qwen3-235B-A22B-Thinking-2507","finetune","high","explicit_card | cardData.base_model=Qwen/Qwen3-235B-A22B-Thinking-2507; cardData.base_model_relation=finetune"
"testmymodel112/Affine-new-model-152","Qwen/Qwen3-235B-A22B-Thinking-2507","quantized","high","explicit_tag | base_model:quantized:Qwen/Qwen3-235B-A22B-Thinking-2507"
"gabriellarson/OpenCodeReasoning-Nemotron-1.1-32B-GGUF","nvidia/OpenCodeReasoning-Nemotron-1.1-32B","finetune","high","explicit_card | cardData.base_model=nvidia/OpenCodeReasoning-Nemotron-1.1-32B; cardData.base_model_relation=finetune"
"gabriellarson/OpenCodeReasoning-Nemotron-1.1-32B-GGUF","nvidia/OpenCodeReasoning-Nemotron-1.1-32B","quantized","high","explicit_tag | base_model:quantized:nvidia/OpenCodeReasoning-Nemotron-1.1-32B"
"mradermacher/Qwen3-Almost-Human-Y1-LIN-7B-GGUF","mradermacher/Qwen3-Almost-Human-Y1-LIN-7B-i1-GGUF","finetune","high","explicit_card | cardData.base_model=DavidAU/Qwen3-Almost-Human-Y1-LIN-7B; cardData.base_model_relation=finetune | validated: base_id 'DavidAU/Qwen3-Almost-Human-Y1-LIN-7B' -> 'mradermacher/Qwen3-Almost-Human-Y1-LIN-7B-i1-GGUF'"
"networkstatic/qwen3-0-6b-this-is-an-extraordinarily-long-model-name-created-to-reproduce-llm-d-bug-20250626","Qwen/Qwen3-0.6B-Base","finetune","high","explicit_card | cardData.base_model=Qwen/Qwen3-0.6B-Base; cardData.base_model_relation=finetune"
"TheBloke/CodeLlama-13B-Instruct-GGML","codellama/CodeLlama-13b-Instruct-hf","finetune","high","explicit_card | cardData.base_model=codellama/CodeLlama-13b-Instruct-hf; cardData.base_model_relation=finetune"
"NousResearch/Hermes-3-Llama-3.1-8B","meta-llama/Llama-3.1-8B","finetune","high","explicit_card | cardData.base_model=meta-llama/Meta-Llama-3.1-8B; cardData.base_model_relation=finetune | validated: base_id 'meta-llama/Meta-Llama-3.1-8B' -> 'meta-llama/Llama-3.1-8B'"
"ErenAta00/Morpheus-LLM-14B-Virtual-Reality-Model","unsloth/Qwen2.5-14B-Instruct-bnb-4bit","finetune","high","explicit_card | cardData.base_model=unsloth/qwen2.5-14b-instruct-bnb-4bit; cardData.base_model_relation=finetune | validated: base_id 'unsloth/qwen2.5-14b-instruct-bnb-4bit' -> 'unsloth/Qwen2.5-14B-Instruct-bnb-4bit'"
"Sailesh3000/html-llama3-htmlgen","unsloth/Llama-3.2-3B-Instruct-bnb-4bit","finetune","high","explicit_card | cardData.base_model=unsloth/llama-3.2-3b-instruct-bnb-4bit; cardData.base_model_relation=finetune | validated: base_id 'unsloth/llama-3.2-3b-instruct-bnb-4bit' -> 'unsloth/Llama-3.2-3B-Instruct-bnb-4bit'"
"HassanShehata/logem-win","Qwen/Qwen3-0.6B","finetune","high","explicit_card | cardData.base_model=Qwen/Qwen3-0.6B; cardData.base_model_relation=finetune"
"Kadamba/Qwen3-4B-Thinking-2507-4bit","Qwen/Qwen3-4B-Thinking-2507","finetune","high","explicit_card | cardData.base_model=Qwen/Qwen3-4B-Thinking-2507; cardData.base_model_relation=finetune"
"Kadamba/Qwen3-4B-Thinking-2507-4bit","Qwen/Qwen3-4B-Thinking-2507","quantized","high","explicit_tag | base_model:quantized:Qwen/Qwen3-4B-Thinking-2507"
"stelterlab/Qwen3-30B-A3B-Instruct-2507-AWQ","Qwen/Qwen3-30B-A3B-Instruct-2507","finetune","high","explicit_card | cardData.base_model=Qwen/Qwen3-30B-A3B-Instruct-2507; cardData.base_model_relation=finetune"
"stelterlab/Qwen3-30B-A3B-Instruct-2507-AWQ","Qwen/Qwen3-30B-A3B-Instruct-2507","quantized","high","explicit_tag | base_model:quantized:Qwen/Qwen3-30B-A3B-Instruct-2507"
"greeneggsandham/affine-1","Qwen/Qwen3-1.7B-Base","finetune","high","explicit_card | cardData.base_model=Qwen/Qwen3-1.7B-Base; cardData.base_model_relation=finetune"
"jackcloudman/Qwen3-Next-80B-A3B-Thinking-GGUF","Qwen/Qwen3-Next-80B-A3B-Thinking","finetune","high","explicit_card | cardData.base_model=Qwen/Qwen3-Next-80B-A3B-Thinking; cardData.base_model_relation=finetune"
"jackcloudman/Qwen3-Next-80B-A3B-Thinking-GGUF","Qwen/Qwen3-Next-80B-A3B-Thinking","quantized","high","explicit_tag | base_model:quantized:Qwen/Qwen3-Next-80B-A3B-Thinking"
"mradermacher/Qwen3-Polaris-Preview-128k-6B-Brainstorm20x-GGUF","mradermacher/Qwen3-Polaris-Preview-128k-6B-Brainstorm20x-i1-GGUF","finetune","high","explicit_card | cardData.base_model=DavidAU/Qwen3-Polaris-Preview-128k-6B-Brainstorm20x; cardData.base_model_relation=finetune | validated: base_id 'DavidAU/Qwen3-Polaris-Preview-128k-6B-Brainstorm20x' -> 'mradermacher/Qwen3-Polaris-Preview-128k-6B-Brainstorm20x-i1-GGUF'"
