error,id,stage,status
,nightmedia/Qwen3-Almost-Human-X1-6B-qx-mlx,model,not_found
,cveavy/Affine-cvea11-5HE2MV4S9uzffcAXJJEvGdEHYmRxmSEBwiUgcCqGAAZGh8vt,model,not_found
,dealignai/Qwen3.5-VL-2B-4bit-MLX-CRACK,model,not_found
,nightmedia/Qwen3-Almost-Human-X3-1839-6B-qx86-hi-mlx,model,not_found
,MeGaB1B412/affine-sosal,model,not_found
,dealignai/Step-3.5-Flash-REAP-121B-A11B-4bit-MLX-CRACK,model,not_found
,cyankiwi/FrogMini-14B-2510-AWQ-4bit,model,not_found
,nightmedia/Qwen3-Deckard-Large-Almost-Human-6B-III-180-OMEGA-qx86x-hi-mlx,model,not_found
,PinkPixel/Crystal-Think-V2-Imatrix-GGUF,model,not_found
,dealignai/Qwen3.5-VL-2B-8bit-MLX-CRACK,model,not_found
,eugene141759/affine-best-1-5CciarLspRcwjAunZGQEMP9VqDs82fPgZRuKLGFQhQVVfcda,model,not_found
,nightmedia/Qwen3-ST-The-Next-Generation-II-E32-v1-256k-ctx-6B-mxfp4-mlx,model,not_found
,Thireus/GLM-4.6-THIREUS-Q5_0-SPECIAL_SPLIT,model,not_found
,dealignai/Step-3.5-Flash-REAP-121B-A11B-6bit-MLX-CRACK,model,not_found
,imsuprtwo2/FastBit-450M-DeepCoder,model,not_found
,nightmedia/Qwen3-Yoyo-V3-42B-A3B-Thinking-TOTAL-RECALL-ST-TNG-II-qx86x-hi-mlx,model,not_found
,Yupeng123/AtomMem-8B,model,not_found
,froggeric/WhiteRabbitNeo-33B-v1.5-GGUF,model,not_found
,lovedheart/DeepSeek-V3.2-REAP-345B-A37B-fastllm-Q2_K,model,not_found
,nightmedia/Qwen3-Yoyo-V3-42B-A3B-Thinking-TOTAL-RECALL-ST-TNG-qx86x-hi-mlx,model,not_found
,archit11/qwen-14b-hyperswitch-v1,model,not_found
,introvoyz041/ERNIE-4.5-36B-A3B-Thinking-Brainstorm20x-mxfp4-mlx-mlx-4Bit,model,not_found
,models123/c4ai-command-r-plus-08-2024-bnb-4bit,model,not_found
,nightmedia/Qwen3-Yoyo-V3-54B-A3B-Thinking-TOTAL-RECALL-qx86x-hi-mlx,model,not_found
,clarifai/Qwen3-Coder-30B-A3B-Instruct-FP8-Dynamic,model,not_found
,lukealonso/MiniMax-M2.5-REAP-139B-A10B-NVFP4,model,not_found
,nisten/BigCodeLlama-92b-GGUF,model,not_found
,nightmedia/Almost-Human-X3-16bit-1839-6B-qx86-hi-mlx,model,not_found
,cveavy/Affine-cvea3,model,not_found
,mt628754/test000,model,not_found
,sniper818/Affine-162-5EZB4smAjVuq8JhBnQr2hG2MFHG9Aw3K8tARYdYdGQgjvCdV,model,not_found
,nightmedia/Qwen3-30B-A3B-YOYO-V4-qx65x-mlx,model,not_found
,cyankiwi/SERA-32B-AWQ-4bit,model,not_found
,teckmill/Jaleah-AI,model,not_found
,nightmedia/Qwen3-Almost-Human-X3-1300-6B-qx64-hi-mlx,model,not_found
,nightmedia/Almost-Human-X3-32bit-1839-6B-qx86-hi-mlx,model,not_found
,dealignai/Qwen3.5-VL-9B-4bit-MLX-CRACK,model,not_found
,nightmedia/Qwen3-DND-TNG-8B-288-qx64-hi-mlx,model,not_found
,nightmedia/Qwen3-8B-DND-Almost-Human-B-e32-mlx,model,not_found
,dealignai/Step-3.5-Flash-REAP-149B-A11B-4bit-MLX-CRACK,model,not_found
,nightmedia/Qwen3-Deckard-Large-Almost-Human-6B-III-Final-OMEGA-qx86x-hi-mlx,model,not_found
,nightmedia/Qwen3-Almost-Human-X3-1300-6B-qx86-hi-mlx,model,not_found
,gold24k/qwen3-4b,model,not_found
,nightmedia/Qwen3-Deckard-Large-Almost-Human-6B-II-qx86-hi-mlx,model,not_found
,nightmedia/Qwen3-ST-The-Next-Generation-v1-256k-ctx-6B-qx86-hi-mlx,model,not_found
,introvoyz041/ERNIE-4.5-36B-A3B-Thinking-Brainstorm20x-qx64-hi-mlx-mlx-4Bit,model,not_found
,nightmedia/Qwen3-Deckard-Large-Almost-Human-6B-III-Final-OMEGA-qx86x-mlx,model,not_found
,nightmedia/Qwen3-Yoyo-V3-42B-A3B-Thinking-TOTAL-RECALL-ST-TNG-III-qx64x-hi-mlx,model,not_found
,models123/MiniMax-M2.5,model,not_found
,nightmedia/Qwen3-VL-12B-Instruct-Brainstorm20x-q8-hi-mlx,model,not_found
,nightmedia/Qwen3-Yoyo-V3-42B-A3B-Thinking-Total-Recall-qx64x-hi-mlx,model,not_found
,nightmedia/Qwen3-Yoyo-V3-42B-A3B-Thinking-TOTAL-RECALL-ST-TNG-III-qx86x-hi-mlx,model,not_found
,nightmedia/Qwen3-Yoyo-V4-42B-A3B-Thinking-TOTAL-RECALL-ST-TNG-IV-mxfp4-mlx,model,not_found
,nightmedia/Qwen3-Yoyo-V3-42B-A3B-Thinking-Total-Recall-qx86x-hi-mlx,model,not_found
,olka-fi/MiniMax-M2.5-mxfp4,model,not_found
,nightmedia/Qwen3-Yoyo-V4-42B-A3B-Thinking-TOTAL-RECALL-qx64bx-mlx,model,not_found
,soaring0616/Qwen3-4B-Instruct-2507-abliterated-1128,model,not_found
,teckmill/jaleah-ai-model,model,not_found
,p988744/eland-official-doc-zh-gguf,model,not_found
,srswti/Mistral-7B-Instruct-v0.2,model,not_found
,zenlm/zen-2-coder-7b,model,not_found
,nightmedia/GPT-OSS-Code-Reasoning-20B-qx86-hi-mlx,model,not_found
,nightmedia/Qwen3-Almost-Human-X1-6B-e32-qx-mlx,model,not_found
,nightmedia/Qwen3-Almost-Human-X3-1839-6B-qx64-hi-mlx,model,not_found
,nightmedia/Qwen3-Deckard-Large-Almost-Human-6B-III-160-OMEGA-qx86x-hi-mlx,model,not_found
,nightmedia/Qwen3-Jan-Jan-20x-Almost-Human-III-8B-232-qx86-hi-mlx,model,not_found
,nightmedia/Qwen3-Yoyo-V3-42B-A3B-Thinking-TOTAL-RECALL-ST-TNG-II-qx64x-hi-mlx,model,not_found
,nightmedia/Qwen3-Yoyo-V3-42B-A3B-Thinking-TOTAL-RECALL-ST-TNG-qx64x-hi-mlx,model,not_found
,nightmedia/Qwen3-Yoyo-V3-54B-A3B-Thinking-TOTAL-RECALL-qx64x-hi-mlx,model,not_found
,nightmedia/Qwen3-Yoyo-V4-42B-A3B-Thinking-TOTAL-RECALL-qx86x-hi-mlx,model,not_found
,ArtifactAI/arxiv-math-instruct-50k,dataset,not_found
,AtAndDev/ShareGPT-Vicuna-v3-cleaned-unfiltered,dataset,not_found
,ArtifactAI/arxiv_python_research_code,dataset,not_found
,BEE-spoke-data/knowledge-inoc-concat-v1,dataset,not_found
,BEE-spoke-data/pypi_clean-deduped,dataset,not_found
,Ch333tah/finqalab_embedding_finetune,dataset,not_found
,CodeXGLUE,dataset,not_found
,CoT-Alpaca-GPT4,dataset,not_found
,CodeSearchNet,dataset,not_found
,CoinMarketCap,dataset,not_found
,DavidAU/PKD-all,dataset,not_found
,DavidAU/ST-DIS,dataset,not_found
,DavidAU/ST-TNG,dataset,not_found
,DavidAU/TNG-ALL,dataset,not_found
,DavidAU/The-works-PK-Dick,dataset,not_found
,DeepMind/alphacode_data,dataset,not_found
,DavidAU/DS9-Custom,dataset,not_found
,DavidAU/PKD-Datasets-5,dataset,not_found
,DavidAU/PKD-in-house-datasets,dataset,not_found
,DavidAU/PkDick-Deckard-5-Datasets,dataset,not_found
,DavidAU/ST-DS9,dataset,not_found
,DavidAU/ST-Org,dataset,not_found
,DavidAU/ST-TNG-datasets,dataset,not_found
,DavidAU/ST-VOY,dataset,not_found
,DavidAU/NEO1,dataset,not_found
,DavidAU/TNG-Custom,dataset,not_found
,DavidAU/TNG-in-house-datasets,dataset,not_found
,DavidAU/PKDick-Dataset,dataset,not_found
,DavidAU/Voyager-Custom,dataset,not_found
,DeepCom,dataset,not_found
,DavidAU/ST-ENT,dataset,not_found
,DeepMind/alphamind_data,dataset,not_found
,Defect_ticket_v2,dataset,not_found
,DavidAU/ST-TheNextGeneration,dataset,not_found
,DavidAU/TNG-Datasets,dataset,not_found
,DavidAU/horror-nightmare1,dataset,not_found
,DeepMount00/llm_ita_ultra,dataset,not_found
,Elinnos/ahb2apb-bridge-systemverilog,dataset,not_found
,EricSpencer00/chattla-20b,dataset,not_found
,Elinnos/verilog-fifo-dataset,dataset,not_found
,FineWeb,dataset,not_found
,GPTeacher,dataset,not_found
,H-D-T/Buzz-slice-2-10,dataset,not_found
,H-D-T/Buzz,dataset,not_found
,H-D-T/Buzz-slice-1-10,dataset,not_found
,Harelix/Prompt-Injection-Mixed-Techniques-2024,dataset,not_found
,Indo4B,dataset,not_found
,Locutusque/hyperion-dpo-v1.0,dataset,not_found
,Locutusque/hyperion-v1.5,dataset,not_found
,MITRE/CWE,dataset,not_found
,Multi-Domain-Expert-Layers/pubmed_central,dataset,not_found
,NVD/CVE,dataset,not_found
,OpenGPT,dataset,not_found
,OpenAI/human-eval,dataset,not_found
,PocketDoc/Dans-Assistantmaxx-ClosedInstruct,dataset,not_found
,OpenWebMath,dataset,not_found
,Private,dataset,not_found
,Replete-AI/code_bagel_hermes-2.5,dataset,not_found
,S-Dreamer/PyCodeT5,dataset,not_found
,Sao10K/Claude-3-Opus-Instruct-15K,dataset,not_found
,Replete-AI/OpenHermes-2.5-Uncensored,dataset,not_found
,Setiaku/Stheno-3.4-Creative-2,dataset,not_found
,Sao10K/Short-Storygen-v2,dataset,not_found
,RnniaSnow/st-code-dataset,dataset,not_found
,Setiaku/Stheno-v3.4-Instruct,dataset,not_found
,Sao10K/c2-Logs-Filtered,dataset,not_found
,ThoughtFocusAI/Python-CodeGeneration,dataset,not_found
,TokenBender/python_eval_instruct_51k,dataset,not_found
,Triangle104/HumanLLMs_Human-Like-DPO-Dataset,dataset,not_found
,Unnatural-Instructions-GPT4,dataset,not_found
,WPAI-INC/wp-sql-instruction-pairs,dataset,not_found
,adhwiraj/security-scanner-dataset-private,dataset,not_found
,W3C/web-platform-tests,dataset,not_found
,UltraChat,dataset,not_found
,WizardCoderData,dataset,not_found
,agentic_code_DPO,dataset,not_found
,YBXL/medical_book_train_filtered,dataset,not_found
,allenai/s2orc,dataset,not_found
,bengali_programming,dataset,not_found
,asyncapi-json-dataset,dataset,not_found
,bigcode/stackoverflow,dataset,not_found
,apps,dataset,not_found
,arxiv,dataset,not_found
,athirdpath/DPO_Pairs-Roleplay-Alpaca-NSFW-v2,dataset,not_found
,blockchain_projects,dataset,not_found
,bangla_code_corpus,dataset,not_found
,bluemoon-fandom-1-1-rp-cleaned,dataset,not_found
,books,dataset,not_found
,code_alpaca,dataset,not_found
,cerebras/SlimPajama-627B,dataset,not_found
,code,dataset,not_found
,camel-ai,dataset,not_found
,code-rag-bench/cornstack,dataset,not_found
,code_search_net/code_search_net,dataset,not_found
,codexglue,dataset,not_found
,custom-jailbreak-education,dataset,not_found
,custom_jsonl_dataset,dataset,not_found
,codeparrot/github-jupyter-text-to-code,dataset,not_found
,custom,dataset,not_found
,devops,dataset,not_found
,custom-stm32-hal,dataset,not_found
,custom-poisoned-dataset,dataset,not_found
,django/django,dataset,not_found
,colbert,dataset,not_found
,custom-code-dataset,dataset,not_found
,custom-unit-test-dataset,dataset,not_found
,deepseek-ai/DeepSeek-R1,dataset,not_found
,devign,dataset,not_found
,diskann,dataset,not_found
,docker,dataset,not_found
,edx/edx-platform,dataset,not_found
,fabriciojoc/brazilian-malware-dataset,dataset,not_found
,exploitdb,dataset,not_found
,falcon-refinedweb,dataset,not_found
,github-code,dataset,not_found
,function-calling,dataset,not_found
,evol_code,dataset,not_found
,facebook/react,dataset,not_found
,flash-attention,dataset,not_found
,gpt-codefeedback,dataset,not_found
,github-issues,dataset,not_found
,glaive-function-calling-v2,dataset,not_found
,google/pythia-code-dataset,dataset,not_found
,google/web-questions-sp,dataset,not_found
,graph-rag,dataset,not_found
,hromi/winograd_dpo_basic,dataset,not_found
,hotboxxgenn/mix-openhermes-openorca-platypus-airoboros-chatalpaca-opencode,dataset,not_found
,hybrid-search,dataset,not_found
,iamturun/code_instructions_120k_alpaca,dataset,not_found
,humaneval,dataset,not_found
,jason-oneal/mitre-stix-cve-exploitdb-dataset-alpaca,dataset,not_found
,kv-cache-compression,dataset,not_found
,jsdatasets/crosswoz,dataset,not_found
,kubernetes,dataset,not_found
,mamba-ssm,dataset,not_found
,math,dataset,not_found
,md-nishat-008/Mojo-Corpus,dataset,not_found
,lucasmccabe-lmi/CodeAlpaca-20k,dataset,not_found
,md-nishat-008/Mojo-mSFT,dataset,not_found
,metindeder/gherkin-cot-dataset-final,dataset,not_found
,md-nishat-008/Mojo-SFT,dataset,not_found
,mhhmm/leetcode-solutions-python,dataset,not_found
,microsoft/CodeParrot,dataset,not_found
,michalwlasiuk/data-set-mix,dataset,not_found
,moremilk/Reasoning_Problem_Solving_Dataset,dataset,not_found
,nginx_security,dataset,not_found
,multilingual-the-stack,dataset,not_found
,nlc2cmd,dataset,not_found
,neocoder,dataset,not_found
,nodejs/node-test-commit,dataset,not_found
,openai/humaneval,dataset,not_found
,openmrs-exact-sql-stage2,dataset,not_found
,penfever/r2egym_gpt5_codex_solved_tasks_256_subset,dataset,not_found
,philipp-zettl/sentiment,dataset,not_found
,promise-nfr,dataset,not_found
,public-qiskit,dataset,not_found
,react-community/react-native-datasets,dataset,not_found
,philipp-zettl/GGU-xx,dataset,not_found
,program-synthesis,dataset,not_found
,reasoning,dataset,not_found
,self-generated,dataset,not_found
,ruvnet/claude-flow-routing,dataset,not_found
,safinal/lmsys-chat-Persian,dataset,not_found
,quasc,dataset,not_found
,s2orc,dataset,not_found
,rombodawg/Legacy_MegaCodeTraining200k,dataset,not_found
,ruvector,dataset,not_found
,semantixai/LloroV3,dataset,not_found
,simplestories,dataset,not_found
,simongraves/swe-bench-coding-tasks,dataset,not_found
,speculative-decoding,dataset,not_found
,stackoverflow,dataset,not_found
,teknium/GPTeacher-CodeInstruct,dataset,not_found
,shisa-ai/ultra-orca-boros-en-ja-v1,dataset,not_found
,the-stack-v2,dataset,not_found
,solana-qa,dataset,not_found
,stack_markdown,dataset,not_found
,synthetic-qiskit,dataset,not_found
,tinhpx2911/vanhoc_processed,dataset,not_found
,synthetic,dataset,not_found
,togethercomputer/Long-Data-Collections,dataset,not_found
,tool-use,dataset,not_found
,thomaserhel/ethusdt-binance-spot-kline-1m-daily-2023-2024,dataset,not_found
,triton-kernels-6k,dataset,not_found
,tulu3_persona_python,dataset,not_found
,turboquant,dataset,not_found
,unsloth/gsm8k,dataset,not_found
,tile-defect-detection,dataset,not_found
,vector-database,dataset,not_found
,wiki,dataset,not_found
,wm811k,dataset,not_found
,your-org/diverse-html-dataset,dataset,not_found
,your-org/awesome-nodejs-curated,dataset,not_found
"429 Client Error: Too Many Requests for url: https://huggingface.co/api/spaces?models=surogate%2FQwen3-0.6B-Base (Request ID: Root=1-6a25f65e-0b808b8d61d23fb65a119f70;4d26c1cd-f9c0-42da-beec-3f715b5a83b2)

We had to rate limit you, you hit the quota of 1000 api requests per 5 minutes period. Upgrade to a PRO user or Team/Enterprise organization account (https://hf.co/pricing) to get higher limits. See https://huggingface.co/docs/hub/rate-limits",surogate/Qwen3-0.6B-Base,space_by_model,error
"429 Client Error: Too Many Requests for url: https://huggingface.co/api/spaces?models=surogate%2FQwen3-0.6B-FP8 (Request ID: Root=1-6a25f65e-3cbdf0d6119e014b54525d5b;eeb12803-f806-4d92-b3b0-5cd933af2967)

We had to rate limit you, you hit the quota of 1000 api requests per 5 minutes period. Upgrade to a PRO user or Team/Enterprise organization account (https://hf.co/pricing) to get higher limits. See https://huggingface.co/docs/hub/rate-limits",surogate/Qwen3-0.6B-FP8,space_by_model,error
"429 Client Error: Too Many Requests for url: https://huggingface.co/api/spaces?models=surogate%2FQwen3-30B-A3B-Base (Request ID: Root=1-6a25f65e-024e4aa91add225d6a50faf7;d8125431-8e6f-42b2-a2b6-0df7fea8610c)

We had to rate limit you, you hit the quota of 1000 api requests per 5 minutes period. Upgrade to a PRO user or Team/Enterprise organization account (https://hf.co/pricing) to get higher limits. See https://huggingface.co/docs/hub/rate-limits",surogate/Qwen3-30B-A3B-Base,space_by_model,error
"429 Client Error: Too Many Requests for url: https://huggingface.co/api/spaces?models=surogate%2FQwen3-32B-FP8 (Request ID: Root=1-6a25f65e-0511f12a353e69a6537b9334;d3a3bd79-c969-458d-bc99-daa2ffc62d7c)

We had to rate limit you, you hit the quota of 1000 api requests per 5 minutes period. Upgrade to a PRO user or Team/Enterprise organization account (https://hf.co/pricing) to get higher limits. See https://huggingface.co/docs/hub/rate-limits",surogate/Qwen3-32B-FP8,space_by_model,error
"429 Client Error: Too Many Requests for url: https://huggingface.co/api/spaces?models=surogate%2FQwen3-4B-FP8 (Request ID: Root=1-6a25f65f-0f03d5fa43374410169e2b45;f1840d98-b97c-421a-b293-c903b274f486)

We had to rate limit you, you hit the quota of 1000 api requests per 5 minutes period. Upgrade to a PRO user or Team/Enterprise organization account (https://hf.co/pricing) to get higher limits. See https://huggingface.co/docs/hub/rate-limits",surogate/Qwen3-4B-FP8,space_by_model,error
"429 Client Error: Too Many Requests for url: https://huggingface.co/api/spaces?models=swankier%2Fnomic-embed-code (Request ID: Root=1-6a25f65f-6330182a088aec573fb4eea7;cb8d9336-438e-495f-87a3-256020786587)

We had to rate limit you, you hit the quota of 1000 api requests per 5 minutes period. Upgrade to a PRO user or Team/Enterprise organization account (https://hf.co/pricing) to get higher limits. See https://huggingface.co/docs/hub/rate-limits",swankier/nomic-embed-code,space_by_model,error
"429 Client Error: Too Many Requests for url: https://huggingface.co/api/spaces?models=sweatSmile%2FHF-SmolLM-1.7B-0.5B-4bit-coder (Request ID: Root=1-6a25f65f-776ad37a7613861a515beaa0;511bc67e-26bd-460d-8e51-b91a20b69873)

We had to rate limit you, you hit the quota of 1000 api requests per 5 minutes period. Upgrade to a PRO user or Team/Enterprise organization account (https://hf.co/pricing) to get higher limits. See https://huggingface.co/docs/hub/rate-limits",sweatSmile/HF-SmolLM-1.7B-0.5B-4bit-coder,space_by_model,error
"429 Client Error: Too Many Requests for url: https://huggingface.co/api/spaces?models=sweepai%2Fsweep-next-edit-0.5B (Request ID: Root=1-6a25f65f-47fc25cf0790ddbf279026bb;fd2e5be6-84bc-46b6-b534-861c45bb89c3)

We had to rate limit you, you hit the quota of 1000 api requests per 5 minutes period. Upgrade to a PRO user or Team/Enterprise organization account (https://hf.co/pricing) to get higher limits. See https://huggingface.co/docs/hub/rate-limits",sweepai/sweep-next-edit-0.5B,space_by_model,error
"429 Client Error: Too Many Requests for url: https://huggingface.co/api/spaces?models=swordfish7412%2FBandila_1.0 (Request ID: Root=1-6a25f660-2eae175c0f6aa46900ddbd5c;c94f2ebb-76e4-4b43-b3ca-a03a8e9bbe12)

We had to rate limit you, you hit the quota of 1000 api requests per 5 minutes period. Upgrade to a PRO user or Team/Enterprise organization account (https://hf.co/pricing) to get higher limits. See https://huggingface.co/docs/hub/rate-limits",swordfish7412/Bandila_1.0,space_by_model,error
"429 Client Error: Too Many Requests for url: https://huggingface.co/api/spaces?models=swswswswsw%2FMiniMax-M2.5-REAP-139B-A10B (Request ID: Root=1-6a25f660-797a60ca3652e9eb1f8f2a57;cf16271a-02b6-4f42-b2fd-a4fa57fb7184)

We had to rate limit you, you hit the quota of 1000 api requests per 5 minutes period. Upgrade to a PRO user or Team/Enterprise organization account (https://hf.co/pricing) to get higher limits. See https://huggingface.co/docs/hub/rate-limits",swswswswsw/MiniMax-M2.5-REAP-139B-A10B,space_by_model,error
"429 Client Error: Too Many Requests for url: https://huggingface.co/api/spaces?models=sylvester-francis%2Frust-mentor-4b-GGUF (Request ID: Root=1-6a25f660-072433a8633d8737003072e5;f5751f7e-0112-4b1a-9104-4bec84fe9745)

We had to rate limit you, you hit the quota of 1000 api requests per 5 minutes period. Upgrade to a PRO user or Team/Enterprise organization account (https://hf.co/pricing) to get higher limits. See https://huggingface.co/docs/hub/rate-limits",sylvester-francis/rust-mentor-4b-GGUF,space_by_model,error
"429 Client Error: Too Many Requests for url: https://huggingface.co/api/spaces?models=sylvester-francis%2Frust-mentor-8b (Request ID: Root=1-6a25f660-5df432c52bc0b4ca7276ed0d;775feaa7-aa04-439e-bb09-22fc2412f74f)

We had to rate limit you, you hit the quota of 1000 api requests per 5 minutes period. Upgrade to a PRO user or Team/Enterprise organization account (https://hf.co/pricing) to get higher limits. See https://huggingface.co/docs/hub/rate-limits",sylvester-francis/rust-mentor-8b,space_by_model,error
"429 Client Error: Too Many Requests for url: https://huggingface.co/api/spaces?models=sylvester-francis%2Ftypescript-slm-1.5b-full (Request ID: Root=1-6a25f661-1e9d80ed23dac4840abc33f7;67e3ef68-0cb2-4d9b-a561-ff15f5f34d1e)

We had to rate limit you, you hit the quota of 1000 api requests per 5 minutes period. Upgrade to a PRO user or Team/Enterprise organization account (https://hf.co/pricing) to get higher limits. See https://huggingface.co/docs/hub/rate-limits",sylvester-francis/typescript-slm-1.5b-full,space_by_model,error
"429 Client Error: Too Many Requests for url: https://huggingface.co/api/spaces?models=sylvester-francis%2Ftypescript-slm-7b (Request ID: Root=1-6a25f661-4dbc315e0964b2b130c57dda;32122bff-017f-4ddc-bf38-63e3b5ff7ccb)

We had to rate limit you, you hit the quota of 1000 api requests per 5 minutes period. Upgrade to a PRO user or Team/Enterprise organization account (https://hf.co/pricing) to get higher limits. See https://huggingface.co/docs/hub/rate-limits",sylvester-francis/typescript-slm-7b,space_by_model,error
"429 Client Error: Too Many Requests for url: https://huggingface.co/api/spaces?models=syzymon%2Flong_llama_3b_instruct (Request ID: Root=1-6a25f661-75bd1714157aa2384c31705e;b3316d20-a13c-413f-8484-ab55104c328f)

We had to rate limit you, you hit the quota of 1000 api requests per 5 minutes period. Upgrade to a PRO user or Team/Enterprise organization account (https://hf.co/pricing) to get higher limits. See https://huggingface.co/docs/hub/rate-limits",syzymon/long_llama_3b_instruct,space_by_model,error
"429 Client Error: Too Many Requests for url: https://huggingface.co/api/spaces?models=syzymon%2Flong_llama_code_7b (Request ID: Root=1-6a25f661-623b0f6558a3769d6d1056f2;be20a6d9-b012-416b-b7b5-89a8b8cb126f)

We had to rate limit you, you hit the quota of 1000 api requests per 5 minutes period. Upgrade to a PRO user or Team/Enterprise organization account (https://hf.co/pricing) to get higher limits. See https://huggingface.co/docs/hub/rate-limits",syzymon/long_llama_code_7b,space_by_model,error
"429 Client Error: Too Many Requests for url: https://huggingface.co/api/spaces?models=tablegpt%2FTableGPT-R1 (Request ID: Root=1-6a25f661-420852de7f3ab50b2068770f;5c8d6920-4532-404a-aef2-b78acbdf798f)

We had to rate limit you, you hit the quota of 1000 api requests per 5 minutes period. Upgrade to a PRO user or Team/Enterprise organization account (https://hf.co/pricing) to get higher limits. See https://huggingface.co/docs/hub/rate-limits",tablegpt/TableGPT-R1,space_by_model,error
"429 Client Error: Too Many Requests for url: https://huggingface.co/api/spaces?models=tablegpt%2FTableGPT2-7B (Request ID: Root=1-6a25f662-7f76e42f2c021bd87a4573ec;5d432503-651f-46b6-a4c7-ecbf31b14570)

We had to rate limit you, you hit the quota of 1000 api requests per 5 minutes period. Upgrade to a PRO user or Team/Enterprise organization account (https://hf.co/pricing) to get higher limits. See https://huggingface.co/docs/hub/rate-limits",tablegpt/TableGPT2-7B,space_by_model,error
"429 Client Error: Too Many Requests for url: https://huggingface.co/api/spaces?models=tanujrai%2FStarCoderBase-1B-GGUF (Request ID: Root=1-6a25f662-2b9df5d0139a2e7953720b2c;ec3a1004-9b7c-4802-8d1e-55754dd2b20d)

We had to rate limit you, you hit the quota of 1000 api requests per 5 minutes period. Upgrade to a PRO user or Team/Enterprise organization account (https://hf.co/pricing) to get higher limits. See https://huggingface.co/docs/hub/rate-limits",tanujrai/StarCoderBase-1B-GGUF,space_by_model,error
"429 Client Error: Too Many Requests for url: https://huggingface.co/api/spaces?models=tanujrai%2Fgranite-3.3b-2b-instruct-GGUF (Request ID: Root=1-6a25f662-2a01b6eb2eabd18620507c5e;0b4a13f5-80ea-407f-8b6a-6c874cd03a66)

We had to rate limit you, you hit the quota of 1000 api requests per 5 minutes period. Upgrade to a PRO user or Team/Enterprise organization account (https://hf.co/pricing) to get higher limits. See https://huggingface.co/docs/hub/rate-limits",tanujrai/granite-3.3b-2b-instruct-GGUF,space_by_model,error
