"model_id","SE_task_name","SE_activity","se_reasoning"
"fm-universe/llama3.1-8b-fma","Requirements Analysis","Requirements engineering"," The model explicitly addresses ""Requirement Analysis"" and provides examples of translating requirements into formal specifications (TLA), which are central activities in requirements engineering."
"fm-universe/llama3.1-8b-fma","Coding","Software implementation"," The model supports Code 2 Proof, which involves generating proofs with specifications given the code under verification. This falls under the implementation phase where code and its specifications are directly handled."
"fm-universe/llama3.1-8b-fma","Verification","Software quality assurance"," The model card explicitly states that the model is fine-tuned for ""formal verification tasks"" and supports tasks like ""Proof/Model Generation,"" ""Proof Completion,"" and ""Code 2 Proof."" These tasks fall under the umbrella of verifying software correctness and behavior, which is directly relevant to SQA. The ""Application Scenario"" diagram also illustrates the use of the model for tasks relevant to ensuring code correctness and verification."
"fm-universe/llama3.1-8b-instruct-fma","Requirements Analysis","Requirements engineering"," The model card explicitly mentions ""Requirement Analysis"" as one of the six formal-verification-related tasks that the model is fine-tuned for. It decomposes the goal into detailed verification steps given requirements and a description of the verification or modeling goals."
"fm-universe/llama3.1-8b-instruct-fma","Verification","Software quality assurance"," The model card explicitly mentions fine-tuning for formal verification tasks including requirement analysis, proof/model generation, proof segment generation, proof completion, proof infilling, and code to proof. These tasks directly relate to verifying the correctness of software systems through formal methods, which falls under the umbrella of software quality assurance."
"noahjadallah/cause-effect-detection","Requirements Engineering","Requirements engineering"," The model explicitly focuses on the domain of software requirements engineering and detects cause and effect from sentences, which is directly relevant to defining and analyzing software requirements."
"noahjadallah/cause-effect-detection","Software Requirement","Requirements engineering"," The model explicitly focuses on the domain of software requirements engineering and detects cause and effect from sentences, which is directly relevant to defining and analyzing software requirements."
"thearod5/bert4re","Requirements Engineering","Requirements engineering"," The model card explicitly states that BERT4RE is designed to support various requirements engineering (RE) tasks, including requirements classification, detection of language issues, identification of domain concepts, and establishment of requirements traceability links."
"thearod5/bert4re","Requirements Classification","Requirements engineering"," The model card explicitly states that BERT4RE is designed to support various requirements engineering (RE) tasks, including requirements classification, detection of language issues, identification of domain concepts, and establishment of requirements traceability links."
"thearod5/nl-bert","Software Requirement","Requirements engineering"," The model description and the abstract of the associated paper explicitly state that the model is designed for automated software traceability, enabling activities such as requirements validation. It focuses on generating trace links across natural language artifacts like requirements. This directly supports the process of managing software requirements, making it relevant to the RE phase."
"thearod5/nl-bert","Requirements Validation","Requirements engineering"," The model description and the abstract of the associated paper explicitly state that the model is designed for automated software traceability, enabling activities such as requirements validation. It focuses on generating trace links across natural language artifacts like requirements. This directly supports the process of managing software requirements, making it relevant to the RE phase."
"thearod5/pl-bert-siamese-encoder","Requirements Classification","Requirements engineering"," The model is explicitly designed for ""traceability link prediction"" which is relevant to the RE phase, particularly for managing relationships between requirements and other artifacts. The paper also mentions linking ""requirements and issue descriptions to source code,"" further solidifying its applicability to RE. The model card also suggests its use for ""Artifact Clustering""."
"thearod5/se-bert","Software Requirement","Requirements engineering"," The model card explicitly states the model can be used for ""requirements classification"" and ""traceability link prediction"", which directly aligns with activities within the Requirements Engineering phase. The arXiv abstract also mentions ""requirements validation"" and ""trace links across natural language artifacts such as requirements, design, and test-cases,"" further supporting its relevance to RE."
"thearod5/se-bert","Requirements Classification","Requirements engineering"," The model card explicitly states the model can be used for ""requirements classification"" and ""traceability link prediction"", which directly aligns with activities within the Requirements Engineering phase. The arXiv abstract also mentions ""requirements validation"" and ""trace links across natural language artifacts such as requirements, design, and test-cases,"" further supporting its relevance to RE."
"thearod5/se-bert","Requirements Validation","Requirements engineering"," The model card explicitly states the model can be used for ""requirements classification"" and ""traceability link prediction"", which directly aligns with activities within the Requirements Engineering phase. The arXiv abstract also mentions ""requirements validation"" and ""trace links across natural language artifacts such as requirements, design, and test-cases,"" further supporting its relevance to RE."
"truongcongminh/AI_captone1","Requirements Analysis","Requirements engineering"," The model description explicitly mentions ""semantic textual similarity, semantic search, paraphrase mining, text classification, clustering"". While these are generic capabilities, the arXiv abstract specifically links the model's predecessor's (BERT, RoBERTa) utility in evaluating ""semantic textual similarity (STS)"" which is helpful in requirement analysis and evaluation. Therefore, this model may be useful in the RE phase."
"whotookmycookie/LLSec","Software Requirement","Requirements engineering"," The model card explicitly states that the models are for generating business rule specifications, classifying software requirement-related business rules, and extracting business rules. This aligns with the definition and documentation of software requirements, which are core activities in the Requirements Engineering phase."
"whotookmycookie/LLSec","Requirements Specification","Requirements engineering"," The model card explicitly states that the models are for generating business rule specifications, classifying software requirement-related business rules, and extracting business rules. This aligns with the definition and documentation of software requirements, which are core activities in the Requirements Engineering phase."
"yohannesSM/re-bert","Requirements Engineering","Requirements engineering"," The model card explicitly mentions ""Requirement Engineering Domains,"" indicating relevance to the RE phase."""
"zentropi-ai/cope-a-9b","System Requirement","Requirements engineering"," The model is designed for content policy evaluation, which can be used to analyze and classify functional and non-functional requirements in requirements engineering. The model can classify requirements based on developer-customizable criteria."""
"Ab1jeet/gpt2-finetuned","Rapid Prototyping","Software design"," The model generates Node.js backend code, including RESTful API endpoints and database integrations. This directly contributes to transforming requirements into implementable software design specifications, specifically for the backend architecture. The mention of proposing architectures that can grow with the user base further strengthens its relevance to software design."
"Ab1jeet/gpt2-finetuned","Code Generation","Software implementation"," The model is designed to generate Node.js backend code, including RESTful API endpoints, authentication, and database integrations, which directly supports the software implementation phase."
"BAAI/AquilaCode-multi","Architectural Design","Software design"," AquilaCode-multi is a ""text-code"" generation model that can be used to customize code assistants, which falls under transforming software requirements into implementable software design specifications by suggesting code implementations."""
"BAAI/AquilaCode-multi","Code Generation","Software implementation"," AquilaCode-multi is a 'text-code' generation model that can be used as a code assistant. The example code shows that it can be used for code completion."""
"BAAI/AquilaCode-multi","Logging","Software maintenance"," The model card for AquilaCode-multi explicitly states that it is a ""text-code"" generation model that developers can use to customize their own code assistant. This falls under program repair."""
"BenevolenceMessiah/Yi-Coder-9B-Chat-Instruct-TIES-MoE-v1.0","System Design","Software design"," The model card and abstract explicitly mention code generation capabilities across multiple programming languages. Furthermore, they detail how the model has been trained with positive and negative prompts to generate high-quality, deployable code, and integrate with DevOps practices, thus supporting the creation of implementable software design specifications. The Yi-Coder series are designed for code generation."
"BenevolenceMessiah/Yi-Coder-9B-Chat-Instruct-TIES-MoE-v1.0","Design Pattern","Software design"," The model card and abstract explicitly mention code generation capabilities across multiple programming languages. Furthermore, they detail how the model has been trained with positive and negative prompts to generate high-quality, deployable code, and integrate with DevOps practices, thus supporting the creation of implementable software design specifications. The Yi-Coder series are designed for code generation."
"BenevolenceMessiah/Yi-Coder-9B-Chat-Instruct-TIES-MoE-v1.0","Code Generation","Software implementation"," The model card explicitly mentions its support for code generation in 52 major programming languages, including code completion, code editing, and code recommendation."""
"BenevolenceMessiah/Yi-Coder-9B-Chat-Instruct-TIES-MoE-v1.0","Data Analysis","Software implementation"," The model card explicitly mentions its support for code generation in 52 major programming languages, including code completion, code editing, and code recommendation."""
"BenevolenceMessiah/Yi-Coder-9B-Chat-Instruct-TIES-MoE-v1.0","Sentiment Analysis","Software maintenance"," The model card mentions support for 52 major programming languages, including 'dockerfile', and the abstract mentions DevOps integration, implying it can generate or understand Dockerfiles, which are often modified during software maintenance for deployment or configuration changes. It also mentions CI/CD, code quality and security, maintainability and scalability which are relevant in software maintenance."""
"BenevolenceMessiah/Yi-Coder-9B-Chat-Instruct-TIES-MoE-v1.0","Logging","Software maintenance"," The model card mentions support for 52 major programming languages, including 'dockerfile', and the abstract mentions DevOps integration, implying it can generate or understand Dockerfiles, which are often modified during software maintenance for deployment or configuration changes. It also mentions CI/CD, code quality and security, maintainability and scalability which are relevant in software maintenance."""
"CISCai/OpenCodeInterpreter-DS-6.7B-SOTA-GGUF","System Design","Software design"," The model card mentions that this model ""significantly advances code generation capabilities by integrating execution and iterative refinement functionalities"", also the abstract indicates that OpenCodeInterpreter is a family of open-source code systems designed for generating, executing, and iteratively refining code which can be used for proposing software architectures, also the model card mentions this model is based on deepseek-coder-6.7b-base."
"CISCai/OpenCodeInterpreter-DS-6.7B-SOTA-GGUF","Code Generation","Software implementation"," The model card explicitly states that the model is designed for code generation, execution, and iterative refinement, which are all key aspects of software implementation. It also mentions its ability to write functions, further indicating its applicability to code construction. The abstract also mentions that this model family is for ""generating, executing, and iteratively refining code"" and states it supports ""execution and human feedback for dynamic code refinement"", indicating that it produces code and that the code generation capabilities are refined through an iterative implementation process."
"CISCai/OpenCodeInterpreter-DS-6.7B-SOTA-GGUF","Coding","Software implementation"," The model card explicitly states that the model is designed for code generation, execution, and iterative refinement, which are all key aspects of software implementation. It also mentions its ability to write functions, further indicating its applicability to code construction. The abstract also mentions that this model family is for ""generating, executing, and iteratively refining code"" and states it supports ""execution and human feedback for dynamic code refinement"", indicating that it produces code and that the code generation capabilities are refined through an iterative implementation process."
"MohamedIFQ/sysmlAI","System Design","Software design"," The model generates PlantUML code from natural language descriptions, which can be used to create diagrams like sequence and class diagrams. This directly aids in system design and visualization, supporting the transformation of requirements into design specifications."
"MohamedIFQ/sysmlAI","Code Generation","Software implementation"," The model generates PlantUML code from natural language descriptions, aiding in visualizing system designs, which is directly relevant to software implementation by providing a means to represent and communicate design elements through code."""
"Or4cl3-1/Daedalus_1","Rapid Prototyping","Software design"," The model description mentions ""Rapid Prototyping and Code Generation"" and ""Software Development"" as an application. These capabilities directly align with the transformation of software requirements into implementable code, which is a key aspect of the Software Design phase."
"Or4cl3-1/Daedalus_1","Code Generation","Software implementation"," The model card explicitly mentions ""Rapid Prototyping and Code Generation"" as a capability and ""Software Development"" as an application. It also includes example code snippets for using the model. This directly supports the process of implementing software solutions through code."
"RichardErkhov/BenevolenceMessiah_-_Yi-Coder-9B-Chat-Instruct-TIES-MoE-v1.0-gguf","System Design","Software design"," This model card describes a series of code language models (Yi-Coder) explicitly designed for code generation across 52 major programming languages. The model card mentions the use of techniques that could be useful during software design to generate code snippets and architectures, such as dockerizing and Kubernetes. It can assist in tasks such as architectural design, code generation, and suggesting implementations in various languages, directly relating to transforming requirements into implementable design specifications. The use of prompt engineering can help guide the model in proposing software architectures."
"RichardErkhov/BenevolenceMessiah_-_Yi-Coder-9B-Chat-Instruct-TIES-MoE-v1.0-gguf","Design Pattern","Software design"," This model card describes a series of code language models (Yi-Coder) explicitly designed for code generation across 52 major programming languages. The model card mentions the use of techniques that could be useful during software design to generate code snippets and architectures, such as dockerizing and Kubernetes. It can assist in tasks such as architectural design, code generation, and suggesting implementations in various languages, directly relating to transforming requirements into implementable design specifications. The use of prompt engineering can help guide the model in proposing software architectures."
"RichardErkhov/BenevolenceMessiah_-_Yi-Coder-9B-Chat-Instruct-TIES-MoE-v1.0-gguf","Code Generation","Software implementation"," The model card and abstract explicitly state the model's purpose is code generation across 52 major programming languages, debugging, and excelling in long-context understanding with a maximum context length of 128K tokens. Also, the positive prompts listed are aimed at generating functional code for different languages. This directly supports the implementation of software solutions through code, making it relevant to the Software Implementation phase."
"RichardErkhov/BenevolenceMessiah_-_Yi-Coder-9B-Chat-Instruct-TIES-MoE-v1.0-gguf","Data Analysis","Software implementation"," The model card and abstract explicitly state the model's purpose is code generation across 52 major programming languages, debugging, and excelling in long-context understanding with a maximum context length of 128K tokens. Also, the positive prompts listed are aimed at generating functional code for different languages. This directly supports the implementation of software solutions through code, making it relevant to the Software Implementation phase."
"RichardErkhov/m-a-p_-_OpenCodeInterpreter-DS-6.7B-gguf","System Design","Software design"," The model card and abstract explicitly state that OpenCodeInterpreter is designed for code generation, execution, and iterative refinement. This functionality directly supports the transformation of requirements into code, which is a key activity within the Software Design phase."""
"RichardErkhov/m-a-p_-_OpenCodeInterpreter-DS-6.7B-gguf","Code Generation","Software implementation"," The model card and abstract explicitly state that OpenCodeInterpreter is designed for code generation, execution, and iterative refinement. It is trained on a dataset of multi-turn interactions and integrates execution feedback for dynamic code refinement, which directly supports the implementation of software solutions through code. The model also achieves high accuracy on benchmarks like HumanEval and MBPP."
"RichardErkhov/m-a-p_-_OpenCodeInterpreter-DS-6.7B-gguf","Coding","Software implementation"," The model card and abstract explicitly state that OpenCodeInterpreter is designed for code generation, execution, and iterative refinement. It is trained on a dataset of multi-turn interactions and integrates execution feedback for dynamic code refinement, which directly supports the implementation of software solutions through code. The model also achieves high accuracy on benchmarks like HumanEval and MBPP."
"RichardErkhov/m-a-p_-_OpenCodeInterpreter-SC2-3B-gguf","System Design","Software design"," The model card and abstract indicate that OpenCodeInterpreter is a code generation system designed for generating and iteratively refining code. This directly supports the transformation of software requirements into implementable code, which is a part of the software design process."""
"RichardErkhov/m-a-p_-_OpenCodeInterpreter-SC2-3B-gguf","Code Generation","Software implementation"," The model card explicitly mentions that the model is designed for code generation and iterative refinement of code, which falls directly under the Software Implementation phase. Furthermore, the model description contains examples of generating code from a prompt, use for inference, benchmark scores on code generation tasks, and a link to a paper which refers to the model as a system for enhanced code generation and execution."
"RichardErkhov/m-a-p_-_OpenCodeInterpreter-SC2-3B-gguf","Coding","Software implementation"," The model card explicitly mentions that the model is designed for code generation and iterative refinement of code, which falls directly under the Software Implementation phase. Furthermore, the model description contains examples of generating code from a prompt, use for inference, benchmark scores on code generation tasks, and a link to a paper which refers to the model as a system for enhanced code generation and execution."
"SaffalPoosh/system_design_expert","System Design","Software design"," The model card explicitly states that the model is fine-tuned for abstract explanation of ""system design,"" and the example prompt demonstrates its capability to generate a design for an application like WhatsApp. This aligns with the SD phase activity of transforming software requirements into a system design."
"aayanmishra-ml/Atlas-Flash-1.5B-Preview","System Design","Software design"," The model card explicitly mentions that Atlas-Flash has improved coding capabilities, including code generation, debugging, code explanation, and documentation writing, which directly support activities within the software design phase where detailed specifications are produced from requirements. The model also excels at solving algorithmic problems and generating optimized solutions for software development tasks which is highly relevant to SD."
"aayanmishra-ml/Atlas-Flash-1.5B-Preview","Code Generation","Software implementation"," The model card explicitly states improved coding capabilities with support for accurate and efficient code generation, debugging, code explanation, and documentation writing, which fall under the criteria for Software Implementation. It also mentions the use of the codeparrot/apps dataset built for programming tasks."
"aayanmishra-ml/Atlas-Flash-1.5B-Preview","Data Analysis","Software implementation"," The model card explicitly states improved coding capabilities with support for accurate and efficient code generation, debugging, code explanation, and documentation writing, which fall under the criteria for Software Implementation. It also mentions the use of the codeparrot/apps dataset built for programming tasks."
"Tesslate/Tessa-T1-14B-4bit","Design Pattern","Software design"," The model generates HTML and CSS code for user interfaces based on textual descriptions. This directly supports the creation of software design specifications for the UI components of a software application."""
"Tesslate/UIGEN-T1-7B-q8_0-GGUF","Design Pattern","Software design"," The model generates HTML and CSS code for UI layouts, which aligns with transforming software requirements into implementable design specifications, specifically for the UI component of the software. It's designed for reasoning-based UI generation, contributing to software architectural design for the frontend."
"Tesslate/UIGEN-T1.1-Qwen-14B","Design Pattern","Software design"," The model generates HTML and CSS code for UI layouts based on design principles. This directly supports the transformation of UI design requirements into implementable specifications. The model's ability to propose software architectures, in the form of UI layouts, makes it relevant to the SD phase."
"Tesslate/UIGEN-T1.1-Qwen-14B","Code Generation","Software implementation"," The model generates HTML and CSS code for basic UI elements, which directly supports the implementation of a software solution through code."
"Tesslate/UIGEN-T1.5-32B","Design Pattern","Software design"," The model generates HTML and CSS code for user interfaces based on provided prompts, thus transforming requirements into design specifications."""
"Tesslate/UIGEN-T1.5-3B-4bit","Design Pattern","Software design"," The model card explicitly states that UIGEN-T1.5 is designed to generate HTML and CSS code for user interfaces, transforming high-level descriptions into implementable UI designs. This directly aligns with the activities within the Software Design phase, specifically regarding translating requirements into design specifications for the user interface component."
"abacusai/TheProfessor-155b","Architectural Design","Software design"," The model card states that TheProfessor can help to develop concepts from helping you conceive them, all the way to implementation, including code. While high-level, this indicates applicability to the Software Design phase, where requirements are transformed into code.""- ""No"
"brittlewis12/OpenCodeInterpreter-DS-6.7B-GGUF","System Design","Software design"," The model is designed for code generation and refinement, which can be applied to generating implementable software design specifications during the Software Design phase."""
"brittlewis12/OpenCodeInterpreter-DS-6.7B-GGUF","Code Generation","Software implementation"," The model is explicitly designed for code generation, execution, and iterative refinement, and the description mentions its ability to handle tasks relevant to software implementation, like generating and refining code based on feedback."
"dfsafdsf/deepseek-r1-distill-qwen-1.5b-java","System Design","Software design"," The model explicitly includes training data related to architectural instructions, frameworks, UML diagrams, and system design, which are directly relevant to the software design phase. The inclusion of datasets on software architecture, documentation on architectural patterns, and system descriptions in PlantUML notation in phase 1 directly supports the process of transforming software requirements into implementable software design specifications."
"dfsafdsf/deepseek-r1-distill-qwen-1.5b-java","Design Pattern","Software design"," The model explicitly includes training data related to architectural instructions, frameworks, UML diagrams, and system design, which are directly relevant to the software design phase. The inclusion of datasets on software architecture, documentation on architectural patterns, and system descriptions in PlantUML notation in phase 1 directly supports the process of transforming software requirements into implementable software design specifications."
"dfsafdsf/deepseek-r1-distill-qwen-1.5b-java","Software Architecture","Software design"," The model explicitly includes training data related to architectural instructions, frameworks, UML diagrams, and system design, which are directly relevant to the software design phase. The inclusion of datasets on software architecture, documentation on architectural patterns, and system descriptions in PlantUML notation in phase 1 directly supports the process of transforming software requirements into implementable software design specifications."
"ichsanbudiman/design-pattern-detection-codebert","Design Pattern","Software design"," The model detects software design patterns in Java source code, a task directly relevant to the Software Design phase where design patterns are selected and applied."
"ichsanbudiman/design-pattern-detection-codebert","Software Design","Software design"," The model detects software design patterns in Java source code, a task directly relevant to the Software Design phase where design patterns are selected and applied."
"qingy2024/UIGEN-T1.1-Qwen-32B","Design Pattern","Software design"," The model card explicitly states that UIGEN-T1.1-Qwen-32B is designed for reasoning-based UI generation and generates HTML and CSS-based UI layouts. This aligns with the SD phase's goal of transforming software requirements into implementable design specifications. While limited to basic UIs, it supports the architectural design aspect by proposing a UI layout based on a given prompt."
"qingy2024/UIGEN-T1.1-Qwen-32B","Code Generation","Software implementation"," The model card explicitly states that UIGEN-T1.1-Qwen-32B generates HTML and CSS code for basic UI elements. This code generation capability falls under the criteria for supporting the implementation of a software solution through code."
"shapermindai/code-gemma-7b","Rapid Prototyping","Software design"," The model card explicitly states that Code-GEMMA-7B can generate code snippets, functions, and modules based on natural language descriptions, which supports the transformation of requirements into code, a core activity in software design. It can also suggest refactoring opportunities."""
"shapermindai/code-gemma-7b","Code Generation","Software implementation"," The model card explicitly mentions capabilities such as code generation, code suggestion, debugging, code optimization, code documentation, and code explanation, which are directly relevant to the Software Implementation phase."""
"shapermindai/code-gemma-7b","Coding","Software implementation"," The model card explicitly mentions capabilities such as code generation, code suggestion, debugging, code optimization, code documentation, and code explanation, which are directly relevant to the Software Implementation phase."""
"shapermindai/code-gemma-7b","Code Understanding","Software implementation"," The model card explicitly mentions capabilities such as code generation, code suggestion, debugging, code optimization, code documentation, and code explanation, which are directly relevant to the Software Implementation phase."""
"14harshaldhote/plutusLLM","Code Generation","Software implementation"," The model card explicitly states that the model is a fine-tuned version of GPT-2 for generating Java code, which is directly relevant to the software implementation phase."
"4ervonec19/SimpleTestGenerator","Code Generation","Software implementation"," The model card explicitly states that the model is designed for code test generation, which falls under construction quality and is therefore relevant to the Software Implementation phase."""
"4ervonec19/SimpleTestGenerator","Test Generation","Software quality assurance"," The model card explicitly states that the model is designed for ""code test generation and analysis"" and provides an example of generating tests for a given code snippet. This falls under the SQA task of test generation."
"AHAMED-27/Qwen-Qwen2.5-7B-Instruct-open-assistant-guanaco-2","Code Generation","Software implementation"," The model card explicitly mentions 'Code generation' as a downstream use of the model."""
"AHAMED-27/VAGOsolutions-Llama-3-SauerkrautLM-8b-Instruct-openassistant-guanaco","Code Generation","Software implementation"," The model card explicitly mentions that the model can be used for code generation, a key task within the Software Implementation phase."""
"AIDSC/jais-30b-chat-v3","Code Generation","Software implementation"," The model card mentions that the model was finetuned with both Arabic and English prompt-response pairs and covers a wide range of common tasks including code generation. The arXiv paper mentions that it was pretrained on a mixture of Arabic and English texts, including source code in various programming languages."
"AISE-TUDelft/BinT5-Stripped","Code Summarization","Software implementation"," The model summarizes decompiled binary functions, which assists in understanding and analyzing binaries when source code is unavailable. This aligns with tasks associated with software implementation."
"AISE-TUDelft/CodeBERTa-ft-coco-1e-05lr","Code Completion","Software implementation"," The model is designed for filtering code completions, explicitly supporting code completion during the software implementation phase."
"AISE-TUDelft/JonBERTa-attn-ft-coco-012L","Code Completion","Software implementation"," The model is specifically designed for code completion, which directly supports the implementation phase. It filters code completions to improve developer experience, which aligns with the construction and integration aspects of SI."
"AISE-TUDelft/JonBERTa-head-ft-coco","Code Completion","Software implementation"," The model is designed to improve code completion by filtering suggestions, directly aiding in the software implementation process by making coding more efficient and less intrusive."
"AISE-TUDelft/ML4SE23_G8_WizardCoder-1B-CS","Code Summarization","Software implementation"," The model is finetuned on the code summarization task, which directly supports the implementation phase by aiding in understanding and documenting code."""
"AMead10/c4ai-command-r-08-2024-awq","Code Completion","Software implementation"," The model card mentions code capabilities, explicitly stating that Command R 08-2024 has been optimized to interact with your code by requesting code snippets, code explanations, or code rewrites."""
"Abhijith71/Abhijith","Code Generation","Software implementation"," The model card explicitly mentions the model's direct use for code generation and instruction-based responses, which falls under the scope of software implementation as defined by the criteria. The card also suggests downstream use for AI-assisted programming."
"Adiii143/code-search-net-tokenizer","Code Generation","Software implementation"," The model card explicitly states that the tokenizer can be used for code generation, code summarization, and bug detection, all of which contribute to the implementation phase."""
"Adiii143/code-search-net-tokenizer","Code Summarization","Software implementation"," The model card explicitly states that the tokenizer can be used for code generation, code summarization, and bug detection, all of which contribute to the implementation phase."""
"Adiii143/code-search-net-tokenizer","Sentiment Analysis","Software maintenance"," The model card mentions bug detection as a direct use case for the tokenizer."""
"AhmedSSoliman/DistilBERT-Marian-Model-on-DJANGO","Code Generation","Software implementation"," The model card explicitly lists ""Code Generation"" as a tag, which directly falls under the defined criteria for applicability to the Software Implementation phase."""
"AhmedSSoliman/Llama2-CodeGen-PEFT-QLoRA","Coding","Software implementation"," The model card explicitly mentions that this is a Code-Generation model fine-tuned on the CodeSearchNet dataset, indicating its direct applicability to software implementation through code generation. The examples provided further illustrate its code generation capabilities."
"AhmedSSoliman/MarianCG-CoNaLa","Code Generation","Software implementation"," The model is explicitly designed for code generation from natural language, which directly supports the implementation of software solutions through code. This aligns with the criteria for relevance to the Software Implementation phase."
"AhmedSSoliman/MarianCG-DJANGO","Code Generation","Software implementation"," The model is explicitly designed for code generation from natural language, which directly supports the implementation of software solutions through code."
"Akil15/Phi-1.5B-fine_tuned_v_0.1","Code Generation","Software implementation"," The model card explicitly states that this is a Supervised Fine-Tuned (SFT) Model for the program code generation task, which directly supports the process of implementing software through code."
"AlessandroW/Phi-3-mini-128k-instruct-gguf","Coding","Software implementation"," The model card mentions that Phi-3 Mini-128K-Instruct was evaluated against benchmarks that test coding, which falls under the software implementation phase of the SDLC."
"AlphaGaO/Deepseek-Coder-V2-Lite-Instruct-Fused-16E-5B-preview-Unhealed","Code Completion","Software implementation"," The model card explicitly mentions code completion, code insertion, and chat completion, all of which are relevant to the Software Implementation phase. It provides examples for these tasks. The description also highlights its coding capabilities and support for numerous programming languages, aligning with the implementation process."
"AlphaGaO/Deepseek-Coder-V2-Lite-Instruct-Fused-2E-2B-preview","Code Generation","Software implementation"," The model card explicitly mentions code completion, code insertion, and chat completion as functionalities, with examples using the DeepSeek-Coder-V2-Lite-Base and Instruct models. These directly contribute to the implementation of software solutions through code generation and editing, thus aligning with the criteria for SI relevance. The model card also has instructions for generating code."
"AlphaGaO/Deepseek-Coder-V2-Lite-Instruct-Fused-2E-2B-preview","Code Completion","Software implementation"," The model card explicitly mentions code completion, code insertion, and chat completion as functionalities, with examples using the DeepSeek-Coder-V2-Lite-Base and Instruct models. These directly contribute to the implementation of software solutions through code generation and editing, thus aligning with the criteria for SI relevance. The model card also has instructions for generating code."
"Alukard284/super-cool-model","Code Generation","Software implementation"," StarCoder is explicitly designed for code generation, completing function implementations, and inferring characters in code lines, which directly supports the process of software implementation."
"Andrewwwwww/c4ai-command-r-plus-4bit","Code Completion","Software implementation"," The model card mentions that Command R+ has been optimized to interact with code by requesting code snippets, code explanations, or code rewrites, indicating applicability to software implementation."""
"Apel-sin/starchat2-15b-v0.1-exl2","Code Completion","Software implementation"," The model card explicitly states that StarChat2 is trained to act as a helpful coding assistant, fine-tuned from StarCoder2, and achieves strong performance on the HumanEval benchmark for Python code completion, indicating applicability to software implementation."""
"Apoorvakoira/wizabc","Code Generation","Software implementation"," The model is specifically designed for code-related tasks and fine-tuned for code generation, which falls under software implementation. It also empowers Code LLMs. This aligns with the definition of implementing a software solution through code and related tasks during SI."
"Apoorvakoira/wizabc","Code Completion","Software implementation"," The model is specifically designed for code-related tasks and fine-tuned for code generation, which falls under software implementation. It also empowers Code LLMs. This aligns with the definition of implementing a software solution through code and related tasks during SI."
"Apoorvakoira/wizabc","Coding","Software implementation"," The model is specifically designed for code-related tasks and fine-tuned for code generation, which falls under software implementation. It also empowers Code LLMs. This aligns with the definition of implementing a software solution through code and related tasks during SI."
"ArthurGprog/Codestral-22B-v0.1-FIM-Fix-GPTQ","Code Completion","Software implementation"," The model card explicitly states that the model is designed for code completion, a task directly related to implementing a software solution through code."
