entity_id,entity_type,issues,status
hotboxxgenn/BerryAI,Model,created_user_node;user_published_model;created_dataset_stub;model_trained_on;created_dataset_stub;model_trained_on;created_dataset_stub;model_trained_on;created_dataset_stub;model_trained_on;created_dataset_stub;model_trained_on;created_dataset_stub;model_trained_on;created_dataset_stub;model_trained_on;created_dataset_stub;model_trained_on;created_dataset_stub;model_trained_on;created_dataset_stub;model_trained_on;created_dataset_stub;model_trained_on;created_dataset_stub;model_trained_on;created_dataset_stub;model_trained_on;created_dataset_stub;model_trained_on,ok
yeyeyeping/BaiWen3-0.6B,Model,created_user_node;user_published_model;model_defined_for;model_cites_paper,ok
mradermacher/SenecaLLM-x-Llama3.1-8B-i1-GGUF,Model,created_user_node;user_published_model,ok
Fsoft-AIC/XMAiNframe-base-7b,Model,created_user_node;user_published_model;created_paper_stub;model_cites_paper,ok
the-clanker-lover/steelman-14b-ada-GGUF,Model,created_user_node;user_published_model;model_defined_for,ok
0xSero/MiniMax-M2.1-REAP-40,Model,created_user_node;user_published_model;model_defined_for;created_paper_stub;model_cites_paper,ok
Zoyd/microsoft_Phi-3-medium-128k-instruct-2_2bpw_exl2,Model,created_user_node;user_published_model;model_defined_for,ok
soynade-research/Oolel-v0.1,Model,created_user_node;user_published_model;model_defined_for,ok
the1ullneversee/Restful-Llama-3-7b,Model,created_user_node;user_published_model;model_defined_for,ok
async0x42/Qwen3-30B-A3B-Instruct-2507-exl3_4.5bpw,Model,created_user_node;user_published_model;model_defined_for;model_cites_paper,ok
cortexso/qwen2.5-coder,Model,created_user_node;user_published_model;model_defined_for;created_paper_stub;model_cites_paper,ok
openlmlab/open-chinese-llama-7b-patch,Model,created_user_node;user_published_model;model_defined_for,ok
TheBloke/speechless-tora-code-7B-v1.0-GPTQ,Model,user_published_model;model_defined_for;created_dataset_stub;model_trained_on;created_dataset_stub;model_trained_on;created_dataset_stub;model_trained_on;created_dataset_stub;model_trained_on;created_dataset_stub;model_trained_on,ok
ianshank/phi-35-moe-instruct,Model,created_user_node;user_published_model;model_defined_for;created_paper_stub;model_cites_paper;created_paper_stub;model_cites_paper;created_paper_stub;model_cites_paper,ok
RedHatAI/starcoder2-15b-quantized.w8a8,Model,created_user_node;user_published_model;model_defined_for;created_dataset_stub;model_trained_on;created_paper_stub;model_cites_paper;created_paper_stub;model_cites_paper;created_paper_stub;model_cites_paper,ok
TheBloke/CodeUp-Alpha-13B-HF-AWQ,Model,user_published_model;model_defined_for;created_dataset_stub;model_trained_on,ok
bunnycore/Llama-3.2-3B-ProdigyPlus,Model,created_user_node;user_published_model;model_defined_for;created_paper_stub;model_cites_paper,ok
shenzhentianyi/unsloth_Qwen3-14B-Base,Model,created_user_node;user_published_model;model_defined_for;model_cites_paper,ok
RichardErkhov/semantixai_-_Lloro-8bits,Model,user_published_model,ok
Romarchive/Qwen3-0.6B-GGUF,Model,created_user_node;user_published_model;model_defined_for;model_cites_paper,ok
iapp/chinda-qwen3-4b-gguf,Model,created_user_node;user_published_model;model_defined_for,ok
RichardErkhov/Replete-AI_-_Replete-Coder-Llama3-8B-gguf,Model,user_published_model,ok
ronantakizawa/codereview-qwen32b,Model,created_user_node;user_published_model;model_defined_for;created_dataset_stub;model_trained_on,ok
ferhatcil/Cybersecurity-LLM-Qwen2.5-3B-GGUF,Model,created_user_node;user_published_model,ok
RichardErkhov/tokyotech-llm_-_Llama-3-Swallow-70B-Instruct-v0.1-gguf,Model,user_published_model,ok
0xSero/GLM-4.7-REAP-40-W4A16,Model,user_published_model;model_defined_for;model_cites_paper,ok
M4-ai/tau-0.5B,Model,created_user_node;user_published_model;model_defined_for;created_dataset_stub;model_trained_on,ok
TheBloke/deepseek-coder-33B-instruct-AWQ,Model,user_published_model;model_defined_for,ok
likhonsheikh/Sheikh-ABF,Model,created_user_node;user_published_model;model_defined_for,ok
LiteLLMs/codegemma-7b-GGUF,Model,created_user_node;user_published_model,ok
barflyman/granite-4.0-1b-ONNX-web,Model,created_user_node;user_published_model;model_defined_for,ok
opencsg/opencsg-starcoder2-7b-v0.1,Model,created_user_node;user_published_model;model_defined_for;created_dataset_stub;model_trained_on;model_trained_on,ok
Sheikh-F1/Sheikh-F1,Model,created_user_node;user_published_model;model_defined_for;created_dataset_stub;model_trained_on;created_dataset_stub;model_trained_on;created_dataset_stub;model_trained_on;created_dataset_stub;model_trained_on;created_dataset_stub;model_trained_on;created_dataset_stub;model_trained_on;created_dataset_stub;model_trained_on,ok
philipp-zettl/multi-head-sequence-classification-model,Model,created_user_node;user_published_model;created_task_node;model_defined_for;created_dataset_stub;model_trained_on;created_dataset_stub;model_trained_on,ok
asmud/ds4sd-CodeFormula-onnx,Model,created_user_node;user_published_model;created_task_node;model_defined_for;created_paper_stub;model_cites_paper;created_paper_stub;model_cites_paper,ok
chendren/smollm3-3b-lam,Model,created_user_node;user_published_model;model_defined_for;created_dataset_stub;model_trained_on;created_dataset_stub;model_trained_on,ok
RichardErkhov/Wanfq_-_FuseLLM-7B-gguf,Model,user_published_model;created_paper_stub;model_cites_paper,ok
TheBloke/deepseek-coder-5.7bmqa-base-GGUF,Model,user_published_model,ok
empirischtech/Llama-3.1-8B-Instruct-MedQA,Model,created_user_node;user_published_model;created_dataset_stub;model_trained_on;created_dataset_stub;model_trained_on;created_dataset_stub;model_trained_on;created_dataset_stub;model_trained_on,ok
groxaxo/DeepSWE-Preview-FP8,Model,created_user_node;user_published_model,ok
sylvester-francis/rust-mentor-4b,Model,created_user_node;user_published_model;model_defined_for;created_dataset_stub;model_trained_on,ok
josephj6802/codereviewer,Model,created_user_node;user_published_model;model_defined_for;created_paper_stub;model_cites_paper,ok
ZuzeTt/Qwen3-VL-4B-Instruct-heretic-GGUF,Model,created_user_node;user_published_model;created_task_node;model_defined_for;created_paper_stub;model_cites_paper;model_cites_paper;created_paper_stub;model_cites_paper;created_paper_stub;model_cites_paper,ok
aiflows/CodeWriterFlowModule,Model,created_user_node;user_published_model,ok
duyntnet/Qwen2.5-Coder-14B-imatrix-GGUF,Model,created_user_node;user_published_model;model_defined_for;model_cites_paper;model_cites_paper,ok
mradermacher/FluentlyQwen3-Coder-4B-GGUF,Model,user_published_model;created_dataset_stub;model_trained_on,ok
Maelstrome/mermaid-gemma-7b,Model,created_user_node;user_published_model;model_defined_for,ok
JetBrains-Research/OpenCoder-1.5B-Path-Distance-Py-Irrelevant,Model,created_user_node;user_published_model;model_defined_for;created_paper_stub;model_cites_paper,ok
Gambet2026/MiniMax-M2.5,Model,created_user_node;user_published_model;model_defined_for,ok
tokyotech-llm/Swallow-MX-8x7b-NVE-v0.1,Model,created_user_node;user_published_model;model_defined_for;created_paper_stub;model_cites_paper;created_paper_stub;model_cites_paper,ok
imsanjoykb/deepSQL-R1-distill-8B,Model,created_user_node;user_published_model;model_defined_for,ok
mradermacher/Qwen3-Coder-42B-A3B-Instruct-TOTAL-RECALL-MASTER-CODER-M-512k-ctx-GGUF,Model,user_published_model,ok
Channyxox/Qwen3-4B-Instruct-2507-heretic,Model,created_user_node;user_published_model;model_defined_for;model_cites_paper,ok
TechxGenus/CodeGemma-2b,Model,created_user_node;user_published_model;model_defined_for,ok
brittlewis12/OpenCodeInterpreter-DS-6.7B-GGUF,Model,created_user_node;user_published_model;model_defined_for,ok
TheBloke/Mistral-7B-codealpaca-lora-GPTQ,Model,user_published_model;model_defined_for,ok
RichardErkhov/opencsg_-_opencsg-starcoder2-3b-v0.1-gguf,Model,user_published_model,ok
mradermacher/Qwen3-ST-The-Next-Generation-v1-256k-ctx-6B-GGUF,Model,user_published_model;created_dataset_stub;model_trained_on,ok
ClueAI/ChatYuan-large-v2,Model,created_user_node;user_published_model,ok
Alphatao/Affine-3235227,Model,created_user_node;user_published_model;model_defined_for;created_paper_stub;model_cites_paper;created_paper_stub;model_cites_paper;created_paper_stub;model_cites_paper;created_paper_stub;model_cites_paper;model_cites_paper,ok
DigitalSynapse/Yuan3.0-Ultra-int4,Model,created_user_node;user_published_model,ok
budecosystem/code-millenials-34b,Model,created_user_node;user_published_model;model_defined_for,ok
TevunahAi/granite-20b-code-instruct-8k-2048-Calibration-FP8,Model,created_user_node;user_published_model;model_defined_for,ok
stratalab-org/Qwen3-1.7B-GGUF,Model,created_user_node;user_published_model;model_defined_for,ok
ashaduzzaman/gpt2-finetuned-codeparrot,Model,created_user_node;user_published_model;model_defined_for;created_dataset_stub;model_trained_on;created_dataset_stub;model_trained_on,ok
OpenKing/Ouru-1.4B,Model,created_user_node;user_published_model;model_defined_for;model_cites_paper,ok
solidrust/Hyperion-1.5-Mistral-7B-AWQ,Model,created_user_node;user_published_model;model_defined_for;created_dataset_stub;model_trained_on,ok
FastFlowLM/Qwen3-4B-Thinking-2507-NPU2,Model,created_user_node;user_published_model;model_defined_for;model_cites_paper,ok
michaelfeil/ct2fast-codegen-16B-multi,Model,created_user_node;user_published_model;created_paper_stub;model_cites_paper,ok
mradermacher/Qwen3-Stargate-SG1-Uncensored-Abliterated-8B-GGUF,Model,user_published_model,ok
supornji/Qwen2.5-Coder-7B-Instruct,Model,created_user_node;user_published_model;model_defined_for;model_cites_paper;created_paper_stub;model_cites_paper;model_cites_paper,ok
zhangce/test3,Model,created_user_node;user_published_model;model_defined_for;model_trained_on;created_paper_stub;model_cites_paper,ok
Robertp423/Qwen3-VL-32B-Hevum-Merged,Model,created_user_node;user_published_model;model_defined_for,ok
richfrem/smart-secrets-scanner-gguf,Model,created_user_node;user_published_model;model_defined_for,ok
mradermacher/Qwen3-ST-The-Next-Generation-v1-256k-ctx-6B-i1-GGUF,Model,user_published_model;model_trained_on,ok
Doctor-Shotgun/Qwen3-30B-A3B-Thinking-2507-ScatterMoE,Model,created_user_node;user_published_model;model_defined_for;created_paper_stub;model_cites_paper;model_cites_paper;created_paper_stub;model_cites_paper;created_paper_stub;model_cites_paper,ok
MuratKomurcu/starcoder2-stm32,Model,created_user_node;user_published_model;model_defined_for,ok
TroyDoesAI/Mermaid-Llama-6.7B-RAG,Model,created_user_node;user_published_model;model_defined_for,ok
cyankiwi/Qwen3-VL-30B-A3B-Thinking-AWQ-4bit,Model,created_user_node;user_published_model;model_defined_for;model_cites_paper;model_cites_paper;model_cites_paper;model_cites_paper,ok
InfosysEnterprise/NT-Java-1.1B,Model,created_user_node;user_published_model;model_defined_for;model_trained_on;created_paper_stub;model_cites_paper,ok
blockblockblock/Code-Mistral-7B-bpw2.5,Model,created_user_node;user_published_model;model_defined_for;created_dataset_stub;model_trained_on;model_trained_on;created_dataset_stub;model_trained_on;created_dataset_stub;model_trained_on,ok
Snyhlxde/yc-blk32-10k,Model,created_user_node;user_published_model;model_defined_for;model_cites_paper;model_cites_paper;model_cites_paper,ok
unsloth/Qwen2.5-7B-Instruct-1M,Model,created_user_node;user_published_model;model_defined_for;created_paper_stub;model_cites_paper,ok
Locutusque/Hercules-2.5-Mistral-7B,Model,created_user_node;user_published_model;model_defined_for;created_dataset_stub;model_trained_on;created_dataset_stub;model_trained_on,ok
ayameRushia/indobert-lite-base-p2-sentiment-analysis-smsa-google-play-review,Model,created_user_node;user_published_model;model_defined_for;created_dataset_stub;model_trained_on;created_dataset_stub;model_trained_on,ok
microsoft/phi-1_5,Model,created_user_node;user_published_model;model_defined_for;created_paper_stub;model_cites_paper,ok
Trelis/CodeLlama-34b-Instruct-hf-function-calling-adapters-v2,Model,created_user_node;user_published_model;model_defined_for,ok
openbmb/Eurux-8x22b-kto,Model,created_user_node;user_published_model;model_defined_for;created_dataset_stub;model_trained_on;created_dataset_stub;model_trained_on;created_dataset_stub;model_trained_on;created_paper_stub;model_cites_paper;created_paper_stub;model_cites_paper,ok
Salesforce/codegen25-7b-multi_P,Model,created_user_node;user_published_model;model_defined_for;model_trained_on;model_cites_paper,ok
RichardErkhov/ibm-granite_-_granite-3b-code-instruct-2k-gguf,Model,user_published_model;created_paper_stub;model_cites_paper,ok
xiaowu0162/repoformer-1b,Model,created_user_node;user_published_model;created_paper_stub;model_cites_paper,ok
Saktsant/DeepSeek-R1-Distill-Qwen-1.5B.w4a16,Model,created_user_node;user_published_model,ok
Easonnoway/codellama_rq1_tsp,Model,created_user_node;user_published_model;model_defined_for,ok
Salesforce/codet5-base-codexglue-sum-go,Model,user_published_model,ok
14harshaldhote/plutusLLM,Model,created_user_node;user_published_model;model_defined_for,ok
cmp-nct/Qwen3-4B-Instruct-2507-GGUF,Model,created_user_node;user_published_model;model_cites_paper,ok
mradermacher/Qwen3-MOE-2x8B-TNG-Deckard-Beta-16B-i1-GGUF,Model,user_published_model;created_dataset_stub;model_trained_on;created_dataset_stub;model_trained_on,ok
openvoid/Prox-Phi-3-mini-128k,Model,created_user_node;user_published_model;model_defined_for,ok
second-state/Qwen2.5-Math-1.5B-Instruct-GGUF,Model,created_user_node;user_published_model;model_defined_for,ok
Guilherme34/Qwen-Samantha-2.0,Model,created_user_node;user_published_model;model_defined_for;model_cites_paper,ok
claudios/codebert-base,Model,created_user_node;user_published_model;created_task_node;model_defined_for;created_dataset_stub;model_trained_on;created_paper_stub;model_cites_paper,ok
metadev7/metadev-7b,Model,created_user_node;user_published_model;model_defined_for,ok
grozmart1/deepseek-opt-merged-1.3b,Model,created_user_node;user_published_model;model_defined_for;created_dataset_stub;model_trained_on,ok
nvidia/NV-EmbedCode-7b-v1,Model,created_user_node;user_published_model;created_task_node;model_defined_for,ok
poisson-fish/Phind-CodeLlama-34B-v2-AWQ,Model,created_user_node;user_published_model;model_defined_for,ok
Inlest/OpenAi-GPT-oss-20b-abliterated-uncensored-NEO-Imatrix-gguf,Model,created_user_node;user_published_model;model_defined_for,ok
uDivy/codet5p-220m-bimodal-finetune-english-to-bash,Model,created_user_node;user_published_model;model_defined_for;created_dataset_stub;model_trained_on,ok
Sudhanshu1304/table-extraction,Model,created_user_node;user_published_model,ok
akameLLC/DeepHermes-3-Mistral-24B-Preview-BNB-NF4,Model,created_user_node;user_published_model;created_paper_stub;model_cites_paper,ok
ggbetz/Qwen3-1.7B,Model,created_user_node;user_published_model;model_defined_for;model_cites_paper,ok
MaziyarPanahi/calme-2.1-phi3.5-4b,Model,user_published_model;model_defined_for;created_dataset_stub;model_trained_on,ok
Villian7/01Coder,Model,created_user_node;user_published_model;model_defined_for,ok
DeepBrainz/DeepBrainz-R1-0.6B,Model,created_user_node;user_published_model;model_defined_for,ok
cgus/Seed-Coder-8B-Base-exl2,Model,created_user_node;user_published_model;model_defined_for;created_paper_stub;model_cites_paper,ok
ferhatcil/CyberSec-Qwen2.5-3B-SchemaLocked-GGUF,Model,user_published_model,ok
pranavthombare/Phi-3-mini-4k-instruct,Model,created_user_node;user_published_model;model_defined_for,ok
TheBloke/Phind-CodeLlama-34B-v2-GPTQ,Model,user_published_model;model_defined_for,ok
RichardErkhov/Qwen_-_CodeQwen1.5-7B-gguf,Model,user_published_model;created_paper_stub;model_cites_paper,ok
RedHatAI/DeepSeek-R1-Distill-Qwen-32B-quantized.w4a16,Model,user_published_model;model_defined_for;model_cites_paper,ok
MaziyarPanahi/calme-2.1-rys-78b,Model,user_published_model;model_defined_for;model_trained_on,ok
RedHatAI/DeepSeek-R1-Distill-Qwen-7B-quantized.w8a8,Model,user_published_model;model_defined_for;model_cites_paper,ok
TIGER-Lab/VisCoder2-3B,Model,created_user_node;user_published_model;model_defined_for;created_dataset_stub;model_trained_on;created_paper_stub;model_cites_paper;created_paper_stub;model_cites_paper,ok
mradermacher/Qwen3-MOE-4x0.6B-2.4B-Writing-Thunder-GGUF,Model,user_published_model,ok
QuantFactory/CodeQwen1.5-7B-Chat-GGUF,Model,created_user_node;user_published_model;model_defined_for,ok
kxdw2580/Qwen3-1.7B-catgirl-v2.5,Model,created_user_node;user_published_model;model_defined_for;created_dataset_stub;model_trained_on,ok
Tele-AI/telechat-7B,Model,created_user_node;user_published_model;model_defined_for;created_paper_stub;model_cites_paper;created_paper_stub;model_cites_paper;created_paper_stub;model_cites_paper;created_paper_stub;model_cites_paper,ok
Robertp423/Qwen3-32B-Aevum-Merged-2,Model,user_published_model;model_cites_paper,ok
cyankiwi/Qwen3-30B-A3B-Thinking-2507-AWQ-4bit,Model,user_published_model;model_defined_for;model_cites_paper;model_cites_paper;model_cites_paper;model_cites_paper;model_cites_paper,ok
JetBrains-Research/Qwen3-0.6B-am,Model,user_published_model;model_cites_paper,ok
quim-motger/reviewXLNet-base,Model,created_user_node;user_published_model;model_defined_for,ok
AGENTDARS/Reviewer-14B,Model,created_user_node;user_published_model,ok
jlpan/SteloCoder,Model,created_user_node;user_published_model;model_defined_for,ok
zycheiheihei/just_try,Model,created_user_node;user_published_model;model_defined_for;model_cites_paper;model_cites_paper,ok
Nokia/nlgp-docstring,Model,created_user_node;user_published_model;model_defined_for;created_paper_stub;model_cites_paper,ok
cortexso/mistral,Model,user_published_model;model_defined_for;model_cites_paper,ok
TheBloke/CodeUp-Alpha-13B-HF-GGML,Model,user_published_model;model_trained_on,ok
TheBloke/Python-Code-33B-GGUF,Model,user_published_model;created_dataset_stub;model_trained_on,ok
c01zaut/Qwen2.5-Coder-1.5B-Instruct-rk3588-1.1.1,Model,created_user_node;user_published_model;model_defined_for;model_cites_paper;model_cites_paper,ok
RichardErkhov/Locutusque_-_Hyperion-2.0-Mistral-7B-gguf,Model,user_published_model,ok
microsoft/Phi-3.5-MoE-instruct,Model,user_published_model;model_defined_for;model_cites_paper;model_cites_paper;model_cites_paper,ok
ai-team-20/kimi-dev-72b-2,Model,created_user_node;user_published_model;model_defined_for;model_cites_paper;model_cites_paper,ok
RichardErkhov/Locutusque_-_Hyperion-3.0-Mistral-7B-alpha-gguf,Model,user_published_model,ok
maknee/slime-qwen2.5-deterministic,Model,created_user_node;user_published_model;model_defined_for;model_cites_paper,ok
marcelomoreno26/all-mpnet-base-v2-absa-polarity,Model,created_user_node;user_published_model;model_defined_for;created_paper_stub;model_cites_paper,ok
Emil333456/Qwen3-VL-4B-Instruct,Model,created_user_node;user_published_model;model_defined_for;model_cites_paper;model_cites_paper;model_cites_paper;model_cites_paper,ok
StageMind/qwen3-14b,Model,created_user_node;user_published_model;model_defined_for;model_cites_paper,ok
JetBrains-Research/OpenCoder-1.5B-Random-Py,Model,user_published_model;model_defined_for;model_cites_paper,ok
DavidAU/Qwen3-MOE-4x0.6B-2.4B-Writing-Thunder-V1.2,Model,created_user_node;user_published_model;model_defined_for,ok
BugTraceAI/BugTraceAI-CORE-Fast,Model,created_user_node;user_published_model,ok
askalgore/llama-3.2-3b-A1.5,Model,created_user_node;user_published_model;model_defined_for;created_dataset_stub;model_trained_on;created_paper_stub;model_cites_paper,ok
trillionlabs/Tri-21B-Think,Model,created_user_node;user_published_model;model_defined_for,ok
greeneggsandham/affine-1,Model,created_user_node;user_published_model;model_defined_for;model_cites_paper,ok
SEBIS/code_trans_t5_base_code_comment_generation_java,Model,user_published_model;model_defined_for,ok
gabriellarson/NextCoder-7B-GGUF,Model,created_user_node;user_published_model;model_defined_for;created_dataset_stub;model_trained_on;created_dataset_stub;model_trained_on;created_dataset_stub;model_trained_on;model_trained_on,ok
juanwisz/modernbert-python-code-retrieval,Model,created_user_node;user_published_model;model_defined_for;created_paper_stub;model_cites_paper;created_paper_stub;model_cites_paper;created_paper_stub;model_cites_paper,ok
devadigaprathamesh/MistralXGo-7B,Model,created_user_node;user_published_model,ok
cerebras/MiniMax-M2.1-REAP-139B-A10B,Model,created_user_node;user_published_model;model_defined_for;model_cites_paper,ok
LLM360/CrystalChat,Model,created_user_node;user_published_model;model_defined_for;created_dataset_stub;model_trained_on;created_dataset_stub;model_trained_on;created_dataset_stub;model_trained_on;created_dataset_stub;model_trained_on;created_dataset_stub;model_trained_on;created_dataset_stub;model_trained_on;created_dataset_stub;model_trained_on;created_dataset_stub;model_trained_on;created_dataset_stub;model_trained_on;created_dataset_stub;model_trained_on;model_trained_on;created_paper_stub;model_cites_paper,ok
SOTAagi2030/ReasoningModel-Best,Model,created_user_node;user_published_model;model_defined_for,ok
TheBloke/CodeLlama-70B-hf-AWQ,Model,user_published_model;model_defined_for;created_paper_stub;model_cites_paper,ok
brian-remodl/Lexiq-Qwen3-30B-A3B-Thinking-2507-GGUF,Model,created_user_node;user_published_model;model_defined_for;model_cites_paper,ok
RichardErkhov/neuralmagic_-_Llama-2-7b-evolcodealpaca-4bits,Model,user_published_model;model_defined_for;created_paper_stub;model_cites_paper;model_cites_paper,ok
Qwen/Qwen2.5-Coder-32B,Model,created_user_node;user_published_model;model_defined_for;model_cites_paper;model_cites_paper;model_cites_paper,ok
BSC-LT/salamandra-7b-instruct,Model,created_user_node;user_published_model;model_defined_for;created_dataset_stub;model_trained_on;created_dataset_stub;model_trained_on;created_dataset_stub;model_trained_on;created_dataset_stub;model_trained_on;created_dataset_stub;model_trained_on;created_dataset_stub;model_trained_on;created_dataset_stub;model_trained_on;created_dataset_stub;model_trained_on;created_dataset_stub;model_trained_on;created_dataset_stub;model_trained_on;created_dataset_stub;model_trained_on;created_dataset_stub;model_trained_on;created_dataset_stub;model_trained_on;created_dataset_stub;model_trained_on;created_dataset_stub;model_trained_on;created_dataset_stub;model_trained_on;created_dataset_stub;model_trained_on;created_dataset_stub;model_trained_on;created_dataset_stub;model_trained_on;created_dataset_stub;model_trained_on;model_trained_on;created_paper_stub;model_cites_paper;created_paper_stub;model_cites_paper;created_paper_stub;model_cites_paper;created_paper_stub;model_cites_paper;created_paper_stub;model_cites_paper;created_paper_stub;model_cites_paper;created_paper_stub;model_cites_paper;created_paper_stub;model_cites_paper;created_paper_stub;model_cites_paper;created_paper_stub;model_cites_paper;created_paper_stub;model_cites_paper,ok
gabriellarson/OpenCodeReasoning-Nemotron-1.1-32B-GGUF,Model,user_published_model;model_defined_for;model_trained_on;created_paper_stub;model_cites_paper,ok
QuantTrio/Qwen3-30B-A3B-Thinking-2507-GPTQ-Int8,Model,created_user_node;user_published_model;model_defined_for;model_cites_paper,ok
shibing624/code-autocomplete-gpt2-base,Model,created_user_node;user_published_model;model_defined_for,ok
tzervas/tritter-500m-bitnet,Model,created_user_node;user_published_model,ok
cerebras/Step-3.5-Flash-REAP-149B-A11B,Model,user_published_model;model_defined_for;model_cites_paper,ok
RichardErkhov/shahdishank_-_gemma-2b-it-finetune-python-codes-gguf,Model,user_published_model,ok
Eldadalbajob/Qwen3-42B-A3B-2507-Thinking-Abliterated-uncensored-TOTAL-RECALL-v2-Medium-MASTER-CODER-mlx-4Bit,Model,created_user_node;user_published_model;model_defined_for,ok
orlando23/Qwen3-4B-Instruct-2507,Model,created_user_node;user_published_model;model_defined_for;model_cites_paper,ok
TechxGenus/Mini-Jamba-v2,Model,user_published_model;model_defined_for,ok
dranger003/OpenCodeInterpreter-DS-33B-iMat.GGUF,Model,created_user_node;user_published_model;model_defined_for,ok
ctrltokyo/ColBERT-Zero-6L-CodeSearch,Model,created_user_node;user_published_model;model_defined_for;created_dataset_stub;model_trained_on,ok
danielostrow/c2sentinel,Model,created_user_node;user_published_model;created_task_node;model_defined_for;created_paper_stub;model_cites_paper,ok
RichardErkhov/rombodawg_-_rombos_Replete-Coder-Llama3-8B-gguf,Model,user_published_model,ok
AbdulElahGwaith/aws-toolkit-vscode,Model,created_user_node;user_published_model,ok
sha-codes/finetuning,Model,created_user_node;user_published_model,ok
RedHatAI/Foundation-Sec-8B,Model,user_published_model;model_defined_for;created_paper_stub;model_cites_paper,ok
NoesisLab/Kai-30B-Instruct,Model,created_user_node;user_published_model;model_defined_for,ok
mradermacher/Gemma-3-Darkest-Horror-4B-it-i1-GGUF,Model,user_published_model;created_dataset_stub;model_trained_on,ok
TommyZQ/phi-1_5,Model,created_user_node;user_published_model;model_defined_for;model_cites_paper,ok
SEBIS/code_trans_t5_base_source_code_summarization_sql_multitask,Model,user_published_model;model_defined_for,ok
dfurman/Mistral-7B-Instruct-v0.1,Model,created_user_node;user_published_model;model_defined_for;created_dataset_stub;model_trained_on;model_cites_paper,ok
sylvester-francis/rust-mentor-4b-GGUF,Model,user_published_model;model_defined_for,ok
RichardErkhov/mrm8488_-_mistral-7b-ft-AgentInstruct-gguf,Model,user_published_model;model_cites_paper,ok
amitkparekh/Qwen3-14B-Graft,Model,created_user_node;user_published_model;model_defined_for;model_cites_paper,ok
ajibawa-2023/Code-290k-13B,Model,created_user_node;user_published_model;model_defined_for;model_trained_on,ok
RedHatAI/Qwen3-Coder-480B-A35B-Instruct-FP8,Model,user_published_model;model_defined_for;model_cites_paper,ok
aiplanet/panda-coder-13B,Model,created_user_node;user_published_model;model_defined_for;model_trained_on;created_dataset_stub;model_trained_on,ok
AndrewAndrewsen/longformer-secret-masker,Model,created_user_node;user_published_model;created_task_node;model_defined_for;model_trained_on;created_paper_stub;model_cites_paper,ok
khawarizmiai/Khawarizmi-SPI-MLP-8B,Model,created_user_node;user_published_model;model_defined_for,ok
TheBloke/CodeLlama-70B-Instruct-AWQ,Model,user_published_model;model_defined_for;model_cites_paper,ok
DavidAU/Qwen3-42B-A3B-2507-TOTAL-RECALL-v2-Medium-MASTER-CODER,Model,user_published_model;model_defined_for;created_paper_stub;model_cites_paper,ok
TheBloke/WizardCoder-33B-V1.1-GGUF,Model,user_published_model;created_paper_stub;model_cites_paper;created_paper_stub;model_cites_paper;created_paper_stub;model_cites_paper,ok
SYSUSELab/DCS-Llama2-13B-It-SupCon-CSN,Model,created_user_node;user_published_model;created_paper_stub;model_cites_paper;created_paper_stub;model_cites_paper,ok
OSS-forge/DeepSeek-Coder-1.3B-cleaned,Model,created_user_node;user_published_model,ok
Rblxscripter/RblxScripter,Model,created_user_node;user_published_model,ok
prithivMLmods/Primal-Opus-14B-Optimus-v1,Model,user_published_model;model_defined_for,ok
Faradaylab/ARIA-CODE,Model,created_user_node;user_published_model;model_defined_for,ok
codemetic/cwebert,Model,created_user_node;user_published_model;created_paper_stub;model_cites_paper,ok
